Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),02-Sep-2021 05:00 PM,09-Sep-2021 11:00 AM,02-Sep-2021 05:00 PM,08-Sep-2021 05:00 PM,NA ,NA ,02-Sep-2021 05:00 PM,08-Sep-2021 05:00 PM,13-Sep-2021 03:45 PM,1.0,Pre-bid meeting,Other,,"3,61,590",No,fixed,,Nil,Nil,C/O Multi Story parking and office accommodation (Armsdale Phase-III) at Chotta Shimla (SH- Providing and placing Modular Furniture items).,C/O Multi Story parking and office accommodation (Armsdale Phase-III) at Chotta Shimla (SH- Providing and placing Modular Furniture items).,As per Bidding documents ,NA ,"1,80,76,236",Civil Works,NA ,Tender,120.0,180.0,Chotta Shimla,171002.0,Old Conference hall Nirman Bhawan Shimla. ,"Old Conference hall HPPWD Nirman Bhawan, Nigam Vihar, Shimla on 06-09-2021 at 11.00A.M. ",06-Sep-2021 11:00 AM ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,PWD,SD-III-CB-Tender/ 2021-22-11176-94 dated 27-08-21,2021_PWD_51862_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,1.0,ICICI BANK,AOC,ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Parveen Kumar Verma,13-Sep-2021 03:30 PM,13-Sep-2021 03:45 PM,techsummary_77548.pdf (829.61 KB),PWD,2021_PWD_51862_1,SD-III-CB-Tender/ 2021-22-11176-94 dated 27-08-21,C/O Multi Story parking and office accommodation (Armsdale Phase-III) at Chotta Shimla (SH- Providing and placing Modular Furniture items).,08-Feb-2022,"INR 18,079,236",180.0,Parveen Kumar Verma,26-Mar-2022 10:57 AM,AOC51862_1.pdf (435.00 KB),AOC,ER.P.K. Verma,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Gopal Singh,Parveen Kumar Verma,15-Sep-2021 10:51 AM,finsummary_77548.pdf (595.43 KB),1.0,234914.0,ASHOKA FURNITURE PVT LTD,08-Sep-2021 04:08 PM,Rejected-AOC,L2,26-Mar-2022 10:57 AM,Technical,Bid opening summary,Parveen Kumar Verma,10-Sep-2021 03:32 PM,technical_77548.pdf,1.0,234570.0,Delite Hi-Tech Furniture Industries (P) Ltd.,INR,"9,375,228",Finance,Bid opening summary,Parveen Kumar Verma,15-Sep-2021 10:48 AM,finance_77548.pdf,BOQ Comparative Chart,AOC
,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,234570.0,Delite Hi-Tech Furniture Industries (P) Ltd.,08-Sep-2021 03:07 PM,Accepted-AOC,L1,26-Mar-2022 10:57 AM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,234986.0,Dynasty Modular Furnitures Pvt. Ltd.,08-Sep-2021 04:51 PM,Rejected-Technical,ok,13-Sep-2021 03:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
