Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,22-Feb-2022 06:05 PM,finsummary_84253.pdf (638.08 KB),08-Mar-2022,"INR 800,198",30.0,Arvind Chaudhary,06-May-2023 10:48 AM,Awardletter.pdf (1014.00 KB),Awardletter,PWD,2022_PWD_56071_1,Job 11 Construction of Boundary wall at GSSS Jakhe,Job 11 Construction of Boundary wall at GSSS Jakhera Tehsil and Distt. Una Sub Head Balance work of Boundary wall Length 124 mtr. Deposit Work,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,15-Feb-2022 04:30 PM,18-Feb-2022 11:00 AM,techsummary_84253.pdf (1784.51 KB),Technical,Bids List,Arvind Chaudhary,05-Feb-2022 04:33 PM,technical_84253.pdf,1.0,260015.0,Ashwani Kumar,02-Feb-2022 11:09 AM,Accepted-AOC,ok,06-May-2023,Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,21-Feb-2022 05:56 PM,finance_84253.pdf,BOQ Comparative Chart,1.0,260015.0,Ashwani Kumar,INR,"554,172",Job 11 Construction of Boundary wall at GSSS Jakhera Tehsil and Distt. Una Sub Head Balance work of Boundary wall Length 124 mtr. Deposit Work,Job 11 Construction of Boundary wall at GSSS Jakhera Tehsil and Distt. Una Sub Head Balance work of Boundary wall Length 124 mtr. Deposit Work,Please refer to Bidding Documents ,NA ,"8,00,198",Civil Works - Buildings,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,28-Jan-2022 10:00 AM,03-Feb-2022 11:00 AM,28-Jan-2022 10:30 AM,02-Feb-2022 05:00 PM,NA ,NA ,28-Jan-2022 10:30 AM,02-Feb-2022 05:00 PM,18-Feb-2022 11:00 AM,500.0,Nil,Nil,No,1.0,ICICI BANK,PWD,Job 11 Construction of Boundary wall at GSSS Jakhe,2022_PWD_56071_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"16,100",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259898.0,Ashwani Kumar,02-Feb-2022 10:46 AM,Rejected-Finance,Not L-2,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,260854.0,balwinder singh govt contractor,02-Feb-2022 03:45 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,260858.0,Harjeet Singh Govt. Contractor,02-Feb-2022 04:30 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,260867.0,jasvinder singh,02-Feb-2022 04:41 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,260857.0,MANI GOVT. CONTRACTOR,02-Feb-2022 04:10 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,260194.0,MOHIT BEDI,01-Feb-2022 08:48 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,260856.0,RAJESH JASWAL,02-Feb-2022 04:13 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,259465.0,unique engg. solutions,01-Feb-2022 07:13 PM,Rejected-Finance,Not L-1,22-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,260693.0,VEENU GOPAL SHARMA,02-Feb-2022 02:53 PM,Rejected-Technical,As per Evaluation Bids,15-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,
