EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"23,15,000",No,fixed,,Nil,Nil,10-Feb-2021 05:00 PM,26-Mar-2021 11:30 AM,10-Feb-2021 05:00 PM,26-Mar-2021 11:00 AM,NA ,NA ,10-Feb-2021 05:00 PM,26-Mar-2021 11:00 AM,24-May-2021 11:00 AM,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,JSV-CE(PMU-MND-Tender -2014-63 dated 10.02.2021,2021_HPIPH_44246_1,Yes,Global Tenders,Lump-sum,Works,3.0,No,No,Online,No,No,No,Proejct Director cum Chief Engineer,PMU Jal Shakti Vibhag Mandi,1.0,Corrigendum,Date,,"2,500",Nil,Nil,No,1.0,Fee,.pdf,Scanned copy of bid security and cost of bid form as per NIT,1.0,ICICI NEFT/RTGS,"Package-D2 Engineering procurement construction testing, commissioning trial run and operation and maintenance of various components of Multi Village Lift Water Supply scheme Ghar Jarot for Block Nargota Surian District Kangra HP",for ultimate capacity of bringing 3.81 MLD treated water 16 hours pumping from the source 5 Nos Tubewell on left and right bank of Gaj Khad in village Suknara and Ghar Jarot to 22 Nos. villages of Block Nagrota Surian in single package on Turn-,Please refer Tender documents. ,NA ,"23,15,41,366",Civil Works - Water Works,NA ,Tender,180.0,730.0,Nagrota Surian,176023.0,Mandi ,Engineer-in-Chief (Project) JSV Vibhag Mandi ,23-Feb-2021 11:00 AM ,Mandi,No ,No,AOC,ENC P JSV Mandi,Internal,CE PMU Mandi CE DZ Dharamshala SE ENC P Mandi SE Nurpur EE D ENC P Mandi EE D PMU EE JSD Jawali Dy Controller,Suresh Mahajan,29-Mar-2022 10:26 AM,finsummary_66275.pdf (4769.95 KB),HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_44246_1,JSV-CE(PMU-MND-Tender -2014-63 dated 10.02.2021,"Package-D2 Engineering procurement construction testing, commissioning trial run and operation and maintenance of various components of Multi Village Lift Water Supply scheme Ghar Jarot for Block Nargota Surian District Kangra HP",1.0,205720.0,SIAN INFRA AND REALCON LLP,INR,"282,505,586",Er N M Saini ENC Project JSV Mandi,Internal,CE PMU Mandi CE Dharamshala SE ENC Project Mandi SE Nurpur SE PMU Mandi EE ENC Project mandi EE PMU Mandi EE JSD Jawali Deputy Controller PMU Mandi,Pardeep Kumar Sharma,21-May-2021 12:36 PM,24-May-2021 11:00 AM,techsummary_66275.pdf (11079.02 KB),1.0,205541.0,National India Construction Co.,25-Mar-2021 06:59 PM,Rejected-Finance,L3,29-Mar-2022 10:26 AM,29-Mar-2022,"INR 291,077,405.3",730.0,Suresh Mahajan,29-Mar-2022 10:28 AM,awardD2.pdf (1055.00 KB),Award Letter,Finance,financial bis,Harsh Sharma,28-Mar-2022 05:35 PM,finance_66275.pdf,BOQ Comparative Chart,Technical,three bidders have been participated in the bid successfully,Pardeep Kumar Sharma,21-May-2021 12:25 PM,technical_66275.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state /Govt. of India dep,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,205720.0,SIAN INFRA AND REALCON LLP,26-Mar-2021 10:41 AM,Accepted-AOC,Accepted,29-Mar-2022 10:28 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of three years as per NIT,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,204386.0,The Spunpipe and Construction Co Baroda Pvt Ltd,25-Mar-2021 05:09 PM,Rejected-Finance,L2,29-Mar-2022 10:26 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria as per NIT",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture is allowed. Copy of Joint venture agreement entered into by the partners duly regis,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN Permanent Account No. GST registration and EPF registration The International,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized b,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking as per Chapter IV of Form12 that I have carefully studied all the t,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make/ model of the proposed pumping machinery along with the characteristic curves.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram for the Tube Well stage as per site conditions,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
