Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
18-Aug-2021 11:00 AM,31-Aug-2021 11:30 AM,18-Aug-2021 11:00 AM,31-Aug-2021 10:30 AM,18-Aug-2021 11:00 AM ,31-Aug-2021 10:30 AM ,18-Aug-2021 11:00 AM,31-Aug-2021 10:30 AM,29-Sep-2021 11:00 AM,500.0,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,No.MC-SKT-Tender/2021-22 -1715-1720 Dt. 05-08-2021,2021_UDDHP_51067_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"13,000",No,fixed,,Executive Officer Municipal Council Sarkaghat,Municipal Council Sarkaghat,"C/O 3 Nos. Cremation Shed in Ward No. 1,3,4 M.C.Sarkaghat Distt. Mandi (H.P)","C/O 3 Nos. Cremation Shed in Ward No. 1,3,4 M.C.Sarkaghat Distt. Mandi (H.P)",Please refer Tender documents. ,NA ,"6,48,714",Civil Works,NA ,Rate Contract,120.0,120.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,Executive Officer,Executive Officer Municipal Council Sarkaghat,1.0,DD - Demand Draft,AOC,Finance,Financial bid Summary,Attul Prasher,27-Oct-2021 10:10 AM,finance_76348.pdf,BOQ Comparative Chart,Technical,office order,Attul Prasher,28-Sep-2021 12:23 PM,technical_76348.pdf,25-Nov-2021,"INR 952,959",120.0,Attul Prasher,19-Mar-2022 12:00 PM,w134.pdf (194.00 KB),AOC,Rahul Jain Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,28-Sep-2021 12:28 PM,29-Sep-2021 11:00 AM,techsummary_76348.pdf (193.53 KB),1.0,232630.0,BHAG SINGH,27-Aug-2021 04:40 PM,Accepted-AOC,This L1 bidder,19-Mar-2022 12:00 PM,Rahul Jain Executive Officer MC. Sarkaghat,Internal,Raj Kumar Saini Assistant Engineer Attul Prasher Junior Engineer Daler Singh Junior Assistant,Attul Prasher,27-Oct-2021 10:14 AM,finsummary_76348.pdf (116.07 KB),1.0,232630.0,BHAG SINGH,INR,"952,959",Directorate of Urban Development||Urban Development - UDDHP||Nagar Panchayat Sarkaghat - UDDHP,2021_UDDHP_51067_1,No.MC-SKT-Tender/2021-22 -1715-1720 Dt. 05-08-2021,"C/O 3 Nos. Cremation Shed in Ward No. 1,3,4 M.C.Sarkaghat Distt. Mandi (H.P)",AOC
,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work Done certificate (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work in hand (General Rule 19 28.02b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
