Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,S.No.3,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,08-Dec-2021 04:29 PM,finsummary_79430.pdf (125.20 KB),28-Mar-2022,"INR 2,197,456",280.0,Vijay Kumar Aggarwal,30-Dec-2023 06:06 PM,Nakul112_3.pdf (596.00 KB),AOC,PWD,2021_PWD_53112_3,TA-9090-9198Dt-8-10-2021,"Routine maintenance of Shilla Gundah road km. 0/0 to 3/0, 5/00 to 10/00 and Kaffota Koti road Km 5/00 to 10/00,12/00 to 13/00 and 28/00 to 29/00 under Performance based Maintenance contract for the year 2020-21.",EE Shillai,Internal,"Ae Shillai, HDM, Supdt.",Pramod Upreti,09-Nov-2021 04:02 PM,13-Nov-2021 11:00 AM,techsummary_79430.pdf (479.44 KB),Finance,Financial summary,Yogesh Sharma,15-Nov-2021 01:47 PM,finance_79430.pdf,BOQ Comparative Chart,1.0,241450.0,Nakul Chauhan,INR,"1,662,770",1.0,Tender Revocation,"Routine maintenance of Shilla Gundah road km. 0/0 to 3/0, 5/00 to 10/00 and Kaffota Koti road Km 5/00 to 10/00,12/00 to 13/00 and 28/00 to 29/00 under Performance based Maintenance contract for the year 2020-21.",09-Nov-2021 03:42 PM,22222.pdf ,465.97,Technical Opening,Technical,technical summary,Pramod Upreti,09-Nov-2021 03:55 PM,technical_79430.pdf,1.0,241450.0,Nakul Chauhan,29-Oct-2021 10:00 AM,Accepted-AOC,work Cancelled,30-Dec-2023,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,1.0,Revised below 10 percent condition upto 30 percent below.,Other,,"40,200",No,fixed,,Nil,Nil,23-Oct-2021 06:00 PM,30-Oct-2021 12:30 PM,23-Oct-2021 06:00 PM,29-Oct-2021 05:00 PM,NA ,NA ,23-Oct-2021 06:00 PM,29-Oct-2021 05:00 PM,13-Nov-2021 11:00 AM,EE Shillai,Executive Engineer HP PWD Shillai,500.0,Nil,Nil,No,"Routine maintenance of Shilla Gundah road km. 0/0 to 3/0, 5/00 to 10/00 and Kaffota Koti road Km 5/00 to 10/00,12/00 to 13/00 and 28/00 to 29/00 under Performance based Maintenance contract for the year 2020-21.","Routine maintenance of Shilla Gundah road km. 0/0 to 3/0, 5/00 to 10/00 and Kaffota Koti road Km 5/00 to 10/00,12/00 to 13/00 and 28/00 to 29/00 under Performance based Maintenance contract for the year 2020-21.",please refer to tender document ,NA ,"21,77,456",Civil Works - Roads,NA ,Rate Contract,90.0,280.0,Shillai,173025.0,NA ,NA ,NA ,Shillai,No ,No,1.0,ICICI BANK,PWD,TA-9090-9198Dt-8-10-2021,2021_PWD_53112_3,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,241535.0,NITIN SHARMA,29-Oct-2021 04:21 PM,Rejected-Finance,Not lowest,08-Dec-2021,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
