S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,"30,200",No,fixed,,Nil,Nil,Providing Periodical Maintenance to Approach Road to Hatkoti Temple under AMP 20221-22 (Add) Km 0/0 to 5/0,SH Providing Renewal Coat with 30mm thick Bitumenious Concrete in Km 0/0 to 0/720,Please refer Tender documents. ,NA ,"15,07,327",Civil Works - Roads,NA ,Tender,120.0,60.0,JUBBAL,171205.0,NA ,NA ,NA ,Jubbal,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,Executive Engineer Jubbal,HPPWD JUBBAL,500.0,Nil,Nil,No,PWD,PW-JD/E-Tender/2021-22 -3604-06 DT 31.7.21,2021_PWD_51016_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,10-Aug-2021 01:00 PM,20-Aug-2021 11:30 AM,10-Aug-2021 01:00 PM,19-Aug-2021 06:00 PM,NA ,NA ,10-Aug-2021 01:00 PM,19-Aug-2021 06:00 PM,24-Aug-2021 04:50 PM,AOC,Finance,3 no contractors participated and Smt pooja Chauhan is L1,Tarsem Singh,26-Aug-2021 03:03 PM,finance_76272.pdf,BOQ Comparative Chart,1.0,230767.0,POOJA CHAUHAN,INR,"1,536,382",1.0,230291.0,AJAY SAUHTA,16-Aug-2021 03:40 PM,Rejected-AOC,L2,10-Mar-2022 02:35 PM,Technical,opened by committee headed by EE 3 No bids received,Tarsem Singh,24-Aug-2021 03:48 PM,technical_76272.pdf,PWD,2021_PWD_51016_1,PW-JD/E-Tender/2021-22 -3604-06 DT 31.7.21,Providing Periodical Maintenance to Approach Road to Hatkoti Temple under AMP 20221-22 (Add) Km 0/0 to 5/0,Executive Engineer,Internal,HDM Supdt supdt PMGSY Tender Assistant,Tarsem Singh,24-Aug-2021 04:45 PM,24-Aug-2021 04:50 PM,techsummary_76272.pdf (365.12 KB),Executive Engineer,Internal,HDM Supdt supdt PMGSY,Tarsem Singh,26-Aug-2021 03:11 PM,finsummary_76272.pdf (906.68 KB),10-Mar-2022,"INR 1,536,382",60.0,Tarsem Singh,10-Mar-2022 02:35 PM,7979.pdf (1014.00 KB),Work is awarded to lowest rate contractor Smt.Pooja Chauhan. L1,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,230310.0,Kapil Rawat,16-Aug-2021 04:59 PM,Rejected-AOC,L3,10-Mar-2022 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,230767.0,POOJA CHAUHAN,18-Aug-2021 06:06 PM,Accepted-AOC,L1,10-Mar-2022 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
