Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,Nil,Nil,Yes,1.0,ICICI BANK,Construction of Nani to Nag road km 0.00 to 2.105,Formation cutting 5.7 mtr. wide road in km 1.800 to 2.105,As per GCC ,NA ,"8,24,773",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP",PWD,THD/CB-tender/21-11753-67,2022_PWD_55905_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,500",Yes,fixed,,Nil,Nil,20-Jan-2022 05:00 PM,31-Jan-2022 11:00 AM,20-Jan-2022 05:00 PM,29-Jan-2022 05:00 PM,NA ,NA ,20-Jan-2022 05:00 PM,29-Jan-2022 05:00 PM,09-Feb-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,AOC,PWD,2022_PWD_55905_4,THD/CB-tender/21-11753-67,Construction of Nani to Nag road km 0.00 to 2.105,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Kewal Ram, Supdt. Gr-II, Jiaya Lal, D/Man, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,08-Feb-2022 03:30 PM,09-Feb-2022 11:00 AM,techsummary_84046.pdf (436.05 KB),"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Jia Lal, Draughtsman",Rajesh Kumar,11-Mar-2022 03:46 PM,finsummary_84046.pdf (410.77 KB),14-Mar-2022,"INR 824,773",60.0,Rajesh Kumar,14-Mar-2022 03:54 PM,Award.pdf (471.00 KB),Award letter,1.0,259572.0,Shanta Kanwar,INR,"577,364",Finance,Financial bid opening summary,Vijay Kumar Chauhan,10-Feb-2022 02:58 PM,finance_84046.pdf,BOQ Comparative Chart,1.0,259504.0,Arun Hetta,29-Jan-2022 01:53 PM,Rejected-Finance,Being Higher rates,11-Mar-2022 03:46 PM,Technical,Bid Opening Summary,Vijay Kumar Chauhan,01-Feb-2022 01:15 PM,technical_84046.pdf,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259572.0,Shanta Kanwar,29-Jan-2022 03:59 PM,Accepted-AOC,Being L1,14-Mar-2022 03:54 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
