S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Bid Submission Opening Date,Bid Submission Closing Date,Pre Bid Meeting Date,Publish Date.1,Bid Opening Date.1,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date.1,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,126229.0,SAMIM AKHTER CHOUDHURY,INR,4266000.0,DoA,Internal,"DoH, Sr.FAO, MD-Seeds, PME-ARIAS etc.",NEELAKSHI BAITHURI,24-Dec-2021 12:08 PM,techsummary_35784.pdf (3583.51 KB),Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23257_14,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Vill Lakhirbond Pt-1 Near Robidaspara Boalipar-PO Boalipar PS-Hailakandi-Boalipar,Finance,Financial cover is opened and processed for evaluation,Upasana Devi,29-Dec-2021 01:12 PM,,BOQ Comparative Chart,1,126150,Altaf Hussain Laskar,13-Nov-2021 11:42 PM,Rejected-Technical,As per minutes,24-Dec-2021 12:08 PM,DoA,Internal,"DoH, Sr.FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,21-Jan-2022 11:28 AM,finsummary_35784.pdf (2220.52 KB),Technical,Technical is opened and processed for evaluation,NEELAKSHI BAITHURI,24-Nov-2021 12:58 PM,,27-Jan-2022,INR 4266000.0,120.0,NEELAKSHI BAITHURI,09-Mar-2022 11:43 AM,Lokhirond.pdf (647.00 KB),As per lowest quoted price,AOC,Director of Agriculture,"Directorate of Agriculture, Assam, Khanapara,Ghy-22",1.0,Corrigendum,BOQ,,Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,2021_DAASC_23257_14,Yes,Open Tender,Works,Works,2.0,No,No,Not Applicable,No,No,Yes,24-Dec-2021 12:15 PM,29-Dec-2021 12:00 PM,24-Dec-2021 12:30 PM,28-Dec-2021 06:00 PM,,30-Oct-2021 02:00 PM,16-Nov-2021 02:00 PM,30-Oct-2021 04:00 PM,15-Nov-2021 01:00 PM,NA ,NA ,01-Nov-2021 02:00 PM,15-Nov-2021 01:00 PM,29-Dec-2021 12:00 PM,0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,RFQ for Construction of office building of the ADO Officer including sanitary etc,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Vill Lakhirbond Pt-1 Near Robidaspara Boalipar-PO Boalipar PS-Hailakandi-Boalipar,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Vill Lakhirbond Pt-1 Near Robidaspara Boalipar-PO Boalipar PS-Hailakandi-Boalipar,Please refer RFQ documents. ,NA ,"60,00,000",Civil Works,NA ,Tender,45.0,120.0,Hailakandi,781022.0,NA ,NA ,NA ,o/o the Chief Engineer Agriculture Assam Khanapara,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,126114,Badrul Islam Barbhuiya,13-Nov-2021 08:01 PM,Rejected-Technical,As per minutes,24-Dec-2021 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,126153,Beena Infratech,14-Nov-2021 04:09 AM,Rejected-Technical,As per minutes,24-Dec-2021 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,126387,Brahmaputra Engineers,15-Nov-2021 11:27 AM,Rejected-AOC,Not Qualified,09-Mar-2022 11:43 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,126330,EDRISH DEWAN,15-Nov-2021 04:51 AM,Rejected-Technical,As per minutes,24-Dec-2021 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,126294,EKON CONSTRUCTIONS,14-Nov-2021 06:50 PM,Rejected-Technical,As per minutes,24-Dec-2021 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,126426,GANPATI CONSTRUCTION COMPANY,15-Nov-2021 11:51 AM,Rejected-AOC,Not Qualified,09-Mar-2022 11:43 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,126406,IRSHAD RASUL BARLASKAR,15-Nov-2021 11:35 AM,Rejected-Technical,As per minutes,24-Dec-2021 12:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,126382,JAGADISH BARUAH,15-Nov-2021 11:33 AM,Not Admitted-Finance,Stage 2 Not Submitted Bid,29-Dec-2021 01:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,126312,JAHIRUL ISLAM MAZUMDER,15-Nov-2021 12:11 AM,Rejected-AOC,Not Qualified,09-Mar-2022 11:43 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
