Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
31-Mar-2022,"INR 672,606",60.0,Tarsem Singh,31-Mar-2022 04:45 PM,114.pdf (956.00 KB),Work is awarded to lowest rate contractor Sh Kuldeep singh chauhan i.e L1,Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,30-Mar-2022 02:40 PM,finsummary_87911.pdf (257.27 KB),Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,23-Mar-2022 03:21 PM,23-Mar-2022 03:25 PM,techsummary_87911.pdf (315.13 KB),PWD,2022_PWD_58198_1,PW-JD/E-Tender/2021-22 -10998-11000,Restoration of rain damages on Sheelghat Brall Jharag Nakrari Matasa Patsari Road Km 7/0 to 19/210,Finance,Sh kuldeep singh is L1,Tarsem Singh,30-Mar-2022 02:33 PM,finance_87911.pdf,BOQ Comparative Chart,1.0,271394.0,Kuldeep Singh Chauhan,INR,"672,606",Technical,2no.of bids,Tarsem Singh,23-Mar-2022 03:11 PM,technical_87911.pdf,1.0,271394.0,Kuldeep Singh Chauhan,21-Mar-2022 12:52 PM,Accepted-AOC,L1,31-Mar-2022 04:45 PM,AOC,350.0,Nil,Nil,No,Restoration of rain damages on Sheelghat Brall Jharag Nakrari Matasa Patsari Road Km 7/0 to 19/210,C/O Causeway at RD 10/465,Please refer Tender documents. ,NA ,"6,71,774",Civil Works - Roads,NA ,Tender,120.0,60.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,PWD,PW-JD/E-Tender/2021-22 -10998-11000,2022_PWD_58198_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Mar-2022 04:00 PM,23-Mar-2022 11:30 AM,17-Mar-2022 04:00 PM,22-Mar-2022 06:00 PM,NA ,NA ,17-Mar-2022 04:00 PM,22-Mar-2022 06:00 PM,23-Mar-2022 03:25 PM,1.0,ICICI BANK,Executive Engineer Jubbal,HPPWD JUBBAL,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,"13,500",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271665.0,RASHPAL SINGH GOVT CONTRACTOR,22-Mar-2022 10:50 AM,Rejected-AOC,L2,31-Mar-2022 04:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,The Earnest Money as per Tender Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,AOC
