Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,Elect. Division HPPWD Palampur,2021_PWD_54465_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,Providing 250 KVA DG set along with cables for generator supply to the Medical College Akhand Chandi Chamba Tehsil and District Chamba (HP),Providing 250 KVA DG set along with cables for generator supply to the Medical College Akhand Chandi Chamba Tehsil and District Chamba (HP),Please refer Tender documents. ,NA ,"28,69,496",Electrical Works,NA ,Tender,120.0,30.0,"Chamba, HP",176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,ICICI BANK,08-Dec-2021 05:00 PM,17-Dec-2021 11:30 AM,08-Dec-2021 05:00 PM,17-Dec-2021 10:00 AM,NA ,NA ,08-Dec-2021 05:00 PM,17-Dec-2021 10:00 AM,27-Dec-2021 12:30 PM,"50,600",No,fixed,,Nil,Nil,Executive Engineer,Elect. Division HPPWD Palampur,AOC,PWD,2021_PWD_54465_3,Elect. Division HPPWD Palampur,Providing 250 KVA DG set along with cables for generator supply to the Medical College Akhand Chandi Chamba Tehsil and District Chamba (HP),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Manoj Kumar Sr. Asstt. and approved by the SE.E. 2nd Electrical Circle HPPWD Dharamshala,Dalip singh Patial,27-Dec-2021 12:03 PM,27-Dec-2021 12:30 PM,techsummary_81550.pdf (290.12 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,05-Feb-2022 09:56 PM,finsummary_81550.pdf (181.92 KB),17-Feb-2022,"INR 2,869,496",30.0,Dalip singh Patial,03-Mar-2022 04:12 PM,award8960-65.pdf (807.00 KB),Awarded to the lowest bidder vide this office letter No.8960-65,1.0,250138.0,Malhotra Associates,INR,"2,625,884",Finance,as Per uploaded document,Dalip singh Patial,05-Feb-2022 08:06 PM,finance_81550.pdf,BOQ Comparative Chart,1.0,248468.0,Kalra Hardware and Electric Store,14-Dec-2021 04:52 PM,Rejected-AOC,Bidder is L2,03-Mar-2022 04:12 PM,Technical,as per uploaded document,Dalip singh Patial,27-Dec-2021 12:01 PM,technical_81550.pdf,AOC
,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,250103.0,KUMAR ELECTRONICS CO.,17-Dec-2021 09:32 AM,Rejected-AOC,Bidder is L3,03-Mar-2022 04:12 PM,,,,,,AOC
,,.pdf,OEM/Authorization by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,250138.0,Malhotra Associates,16-Dec-2021 06:46 PM,Accepted-AOC,Bidder is L1,03-Mar-2022 04:12 PM,,,,,,AOC
,,.pdf,Average annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
