S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bank Name
1.0,264287.0,Nitin Kumar Govt Contractor,INR,"4,241,104",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,28-Feb-2022 06:12 PM,finance_85429.pdf,BOQ Comparative Chart,Technical,TechnicalBidOpeningSummary,Rajesh Kumar,22-Feb-2022 03:57 PM,technical_85429.pdf,1.0,264440.0,ABC Construction,17-Feb-2022 01:26 PM,Rejected-Finance,Not L-1,28-Feb-2022,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,28-Feb-2022 06:35 PM,finsummary_85429.pdf (545.75 KB),31-Mar-2022,"INR 2,953,201",90.0,Baldev Singh,05-Aug-2023 12:01 PM,Awardletter.pdf (710.00 KB),Awardletter,PWD,2022_PWD_56708_1,Job 1 Construction of link road Shiv Mandir to Mal,Job 1 Construction of link road Shiv Mandir to Malahat via Chattara Desi Mohalla via Basoli and Majra Una Hamirpur road toward No. 1 Moh. Bhrahmna to Harda Bala Bag lower Arniala Una Santoshgarh to Swan Bela via Bharolian 0-0 to 1-900 Sub Head C.O RC,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,26-Feb-2022 05:33 PM,28-Feb-2022 10:00 AM,techsummary_85429.pdf (629.74 KB),Job 1 Construction of link road Shiv Mandir to Malahat via Chattara Desi Mohalla via Basoli and Majra Una Hamirpur road toward No. 1 Moh. Bhrahmna to Harda Bala Bag lower Arniala Una Santoshgarh to Swan Bela via Bharolian 0-0 to 1-900 Sub Head C.O RC,Job 1 Construction of link road Shiv Mandir to Malahat via Chattara Desi Mohalla via Basoli and Majra Una Hamirpur road toward No. 1 Moh. Bhrahmna to Harda Bala Bag lower Arniala Una Santoshgarh to Swan Bela via Bharolian 0-0 to 1-900 Sub Head C.O RC,Please refer to Bidding Documents ,NA ,"29,53,201",Civil Works - Roads,NA ,Tender,75.0,90.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,PWD,Job 1 Construction of link road Shiv Mandir to Mal,2022_PWD_56708_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,"52,000",No,fixed,,Nil,Nil,12-Feb-2022 05:00 PM,18-Feb-2022 11:00 AM,12-Feb-2022 05:00 PM,17-Feb-2022 05:00 PM,NA ,NA ,12-Feb-2022 05:00 PM,17-Feb-2022 05:00 PM,28-Feb-2022 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,264357.0,BONSRA CONSTRUCTION COMPANY,17-Feb-2022 12:36 PM,Rejected-Technical,As per Evaluation Bids,26-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,3.0,264287.0,Nitin Kumar Govt Contractor,17-Feb-2022 12:18 AM,Accepted-AOC,ok,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,
,,,,,,,,,,,,,,,,4.0,264397.0,Nitish Thakur,17-Feb-2022 11:20 AM,Rejected-Technical,As per Evaluation Bids,26-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,
,,,,,,,,,,,,,,,,5.0,263783.0,Vikas puri,17-Feb-2022 04:33 PM,Rejected-Technical,As per Evaluation Bids,26-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,
