Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.3,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
EE Shillai,Internal,"Ae Shillai, HDM, Sudt.",Pramod Upreti,08-Dec-2021 04:24 PM,finsummary_79427.pdf (130.27 KB),28-Mar-2022,"INR 2,652,663",280.0,Vijay Kumar Aggarwal,30-Dec-2023 06:04 PM,Nakul112_2.pdf (515.00 KB),AOC,PWD,2021_PWD_53112_2,TA-9090-9198Dt-8-10-2021,"Routine maintenance of Timbi Millah road km. 0/0 to 5/00, Shillai Pashmi Bali Koti road km. 4/0 to 6/0, Shillai Naya Kandi Sundrari road km. 0/0 to 7/0 and Link road to village Shillai in km. 0/0 to 1/00 under Performance based Maintenance contrac",EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,09-Nov-2021 04:01 PM,13-Nov-2021 11:00 AM,techsummary_79427.pdf (472.02 KB),1.0,241452.0,Nakul Chauhan,INR,"1,856,864",Finance,Financial sumamry,Yogesh Sharma,15-Nov-2021 01:40 PM,finance_79427.pdf,BOQ Comparative Chart,Technical,technical summary,Pramod Upreti,09-Nov-2021 03:54 PM,technical_79427.pdf,1.0,2021_PWD_53112_1,"Routine maintenance of Timbi Millah road km. 0/0 to 5/00, Shillai Pashmi Bali Koti road km. 4/0 to 6/0, Shillai Naya Kandi Sundrari road km. 0/0 to 7/0 and Link road to village Shillai in km. 0/0 to 1/00 under Performance based Maintenance contrac",09-Nov-2021 03:38 PM,11111.pdf ,458.55,Technical Opening,1.0,241238.0,M/s BHAWAN SINGH,27-Oct-2021 08:18 PM,Rejected-Finance,Not lowest,08-Dec-2021,23-Oct-2021 06:00 PM,30-Oct-2021 12:30 PM,23-Oct-2021 06:00 PM,29-Oct-2021 05:00 PM,NA ,NA ,23-Oct-2021 06:00 PM,29-Oct-2021 05:00 PM,13-Nov-2021 11:00 AM,1.0,ICICI BANK,"1,500",Nil,Nil,No,1.0,Revised below 10 percent condition upto 30 percent .,Other,,"47,300",No,fixed,,Nil,Nil,"Routine maintenance of Timbi Millah road km. 0/0 to 5/00, Shillai Pashmi Bali Koti road km. 4/0 to 6/0, Shillai Naya Kandi Sundrari road km. 0/0 to 7/0 and Link road to village Shillai in km. 0/0 to 1/00 under Performance based Maintenance contrac","Routine maintenance of Timbi Millah road km. 0/0 to 5/00, Shillai Pashmi Bali Koti road km. 4/0 to 6/0, Shillai Naya Kandi Sundrari road km. 0/0 to 7/0 and Link road to village Shillai in km. 0/0 to 1/00 under Performance based Maintenance contrac",please refer to tender document ,NA ,"26,52,663",Civil Works - Roads,NA ,Rate Contract,90.0,280.0,Shillai,173025.0,NA ,NA ,NA ,Shillai,No ,No,EE Shillai,Executive Engineer HP PWD Shillai,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,PWD,TA-9090-9198Dt-8-10-2021,2021_PWD_53112_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,241532.0,M/S hind construction,29-Oct-2021 04:59 PM,Rejected-Finance,Not lowest,08-Dec-2021,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,241452.0,Nakul Chauhan,29-Oct-2021 10:19 AM,Accepted-AOC,work Cencelled,30-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,
