S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,BG - Bank Guarantee Irrevocable,20-Oct-2021 02:00 PM,22-Nov-2021 12:00 PM,20-Oct-2021 02:00 PM,22-Nov-2021 11:00 AM,NA ,NA ,03-Nov-2021 10:30 AM,22-Nov-2021 11:00 AM,27-Jan-2022 11:00 AM,"Director of Agriculture, Assam, Khanapara","O/o Chief Engineer, Agriculture, Assam, Khanapara, Ghy-22","2,06,330",Yes,percentage,2.0%,Director of Agriculture,Guwahati,Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4874 /KC-XXVI /Bid/ 2020-21/10 11.10,2021_DAASC_23172_31,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Date,Date,,"Construction of Thirty nos of Knowledge centre with training hall under RIDF, XXVI-Barpeta-Patacharkuchi","Construction of Thirty nos of Knowledge centre with training hall under RIDF, XXVI-Barpeta-Patacharkuchi",Please refer Tender documents. ,NA ,"1,03,16,485",Construction Works,NA ,Tender,90.0,180.0,Barpeta,781022.0,"Assam, Khanapara, Ghy-22 ","Conference Hall of Chief Engineer, Agriculture, Assam, Khanapara, Ghy-22 ",27-Oct-2021 01:00 PM ,"O/o Chief Engineer, Agriculture, Assam, Khanapara",No ,No,"2,000",Director of Agriculture,Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of Tender fee and EMD,AOC,Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23172_31,AGRI/ENGG/4874 /KC-XXVI /Bid/ 2020-21/10 11.10,"Construction of Thirty nos of Knowledge centre with training hall under RIDF, XXVI-Barpeta-Patacharkuchi",Finance,Financial cover is opened and processed for evaluation,NEELAKSHI BAITHURI,27-Jan-2022 12:15 PM,,BOQ Comparative Chart,1.0,125961.0,Hitesh Kumar Das,INR,8872177.0,1,126000,Akhil Sarma,12-Nov-2021 08:19 PM,Rejected-Technical,As per minutes,22-Jan-2022 05:52 PM,22-Feb-2022,INR 8872177.0,180.0,NEELAKSHI BAITHURI,22-Mar-2022 03:14 PM,Patacharkuchi.pdf (578.00 KB),As per lowest quoted rate,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,22-Feb-2022 03:26 PM,finsummary_35676.pdf (3328.17 KB),DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME- ARIASS etc.",NEELAKSHI BAITHURI,22-Jan-2022 05:52 PM,27-Jan-2022 11:00 AM,techsummary_35676.pdf (4409.20 KB),Technical,Technical cover is opened and process for evaluation,NEELAKSHI BAITHURI,23-Nov-2021 11:58 AM,,AOC
2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan Copy of Technical Documents Part-1,AOC,,,,,,,,,,,,,,,,2,126248,Biren Deka,15-Nov-2021 01:41 PM,Rejected-AOC,Not Qualified,22-Mar-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan Copy of Technical Documents Part-2,AOC,,,,,,,,,,,,,,,,3,125797,Consulting Engineer NG,09-Nov-2021 10:23 PM,Rejected-Technical,As per minutes,22-Jan-2022 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document downloaded from the portal,AOC,,,,,,,,,,,,,,,,4,126439,DAL THOMS SCIENTIFIC,15-Nov-2021 12:09 PM,Rejected-AOC,Not Qualified,22-Mar-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,,,,,5,126637,Hemen Talukdar,20-Nov-2021 07:22 PM,Rejected-Technical,As per minutes,22-Jan-2022 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,AOC,,,,,,,,,,,,,,,,6,125961,Hitesh Kumar Das,12-Nov-2021 02:10 PM,Accepted-AOC,Qualified,22-Mar-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,126683,Hiya Construction,21-Nov-2021 11:34 PM,Rejected-Technical,As per minutes,22-Jan-2022 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,126001,Mahirul Islam,20-Nov-2021 05:10 PM,Rejected-AOC,Not Qualified,22-Mar-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,126446,M/S D. S. ENTERPRISE,21-Nov-2021 03:05 PM,Rejected-AOC,Not Qualified,22-Mar-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,126673,M/s Kunal Das,21-Nov-2021 06:43 PM,Rejected-AOC,Not Qualified,22-Mar-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
