Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Imp and Up Gradation Sarion Basa Mahog Sandhu Via Halai km 0.0 to 8.120,"Imp and Up Gradation Sarion Basa Mahog Sandhu Via Halai km 0.0 to 8.120 (SH Removal of formation deficiencies,C/O R/Wall and B/Wall CD Works,PCC road side Drain C/O essential parapets,P/L GSB, WBM GII, GIII, Premix Carpet with seal coat)",AS PER SBD ,NA ,"4,74,80,000",Civil Works - Roads,NA ,Tender,75.0,540.0,THEOG,171201.0,NA ,NA ,NA ,Superintending Engineer 4th Circle HPPWD Shimla,No ,No,18-Nov-2021 04:30 PM,07-Dec-2021 11:00 AM,18-Nov-2021 04:30 PM,06-Dec-2021 05:00 PM,NA ,NA ,18-Nov-2021 04:30 PM,06-Dec-2021 05:00 PM,20-Dec-2021 04:00 PM,PWD,10.11.2021,2021_PWD_53726_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"9,50,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form (Online),Superintending Engineer 4th Circle HPPWD Shimla,Superintending Engineer 4th Circle HPPWD Shimla,1.0,ICICI BANK,"5,000",Nil,Nil,No,AOC,PWD,2021_PWD_53726_1,10.11.2021,Imp and Up Gradation Sarion Basa Mahog Sandhu Via Halai km 0.0 to 8.120,ER.Suresh Kapoor S.E. 4th Circle,Internal,"Sr. DAO THeoG. CHD 4th Circle, AE Design. E.E. Theog. E.E. Design.",Parveen Kumar Verma,20-Dec-2021 12:52 PM,20-Dec-2021 04:00 PM,techsummary_80459.pdf (542.27 KB),S.E. 4th Circle,Internal,"E.E. Theog, EE(D) 4th Circle, AE(D) 4th Circle, CHD, DAO theog",Parveen Kumar Verma,22-Dec-2021 11:01 AM,finsummary_80459.pdf (575.01 KB),08-Mar-2022,"INR 47,480,000",540.0,Parveen Kumar Verma,14-Mar-2022 04:22 PM,Awardletter.pdf (1122.00 KB),Tendered Amount,Finance,Bid opening summary,Parveen Kumar Verma,22-Dec-2021 10:57 AM,finance_80459.pdf,BOQ Comparative Chart,1.0,247633.0,RAJVIR MOTORS,INR,"47,474,795",1.0,247897.0,kapoor sanjee,06-Dec-2021 10:41 AM,Rejected-AOC,L2,14-Mar-2022 04:22 PM,Technical,Bid opening summary,Parveen Kumar Verma,08-Dec-2021 11:02 AM,technical_80459.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Online),,,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248032.0,P K Construction Shimla Pvt Ltd,06-Dec-2021 03:58 PM,Rejected-AOC,L3,14-Mar-2022 04:22 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,247633.0,RAJVIR MOTORS,04-Dec-2021 05:48 PM,Accepted-AOC,LI,14-Mar-2022 04:22 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done As Per clause 4.2 (c) of ITB section 2,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per clause 4.2(c) and Clause 4.4 A(b) of ITB section 2(signed by Executive Engineer),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(as per clause 4.2(d) and 4.4 B (b) (i) of ITB)",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in section 6 of SBD,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted HPPWD Employee Related To Him(clause 4.4 B(c) of ITB,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and Correct In All Respect as per clause 4.4B(a)(ii) of ITB (Format in Section 6),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
