EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"92,200",Yes,fixed,,Nil,Nil,"2,000",Nil,Nil,No,09-Nov-2021 11:00 AM,20-Nov-2021 11:00 AM,09-Nov-2021 11:30 AM,18-Nov-2021 06:00 PM,NA ,NA ,09-Nov-2021 11:30 AM,18-Nov-2021 06:00 PM,25-Nov-2021 10:30 AM,PWD,No.BGN/2020-21-8310-45 dated 27.10.2021Job1,2021_PWD_53258_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),Construction of 9 Nos Rooms at Government Senior Secondary School Jatehri Tehsil Bangana Distt. Una (H.P),C/o 3 Nos Rooms at Ground Floor i/c Site Development,Please refer Tender documents. ,NA ,"59,60,943",Civil Works - Buildings,NA ,Tender,120.0,NA ,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,ICICI BANK,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,AOC,1.0,242731.0,Chander Kumar,18-Nov-2021 01:41 PM,Accepted-AOC,Lowest,05-Mar-2022 05:19 PM,Technical,Tech bid opened,SHASHI PAL,23-Nov-2021 05:14 PM,technical_79659.pdf,1.0,242731.0,Chander Kumar,INR,"6,043,122",Finance,Fin bid opened,SHASHI PAL,25-Nov-2021 04:39 PM,finance_79659.pdf,BOQ Comparative Chart,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,23-Nov-2021 05:16 PM,25-Nov-2021 10:30 AM,techsummary_79659.pdf (592.91 KB),PWD,2021_PWD_53258_1,No.BGN/2020-21-8310-45 dated 27.10.2021Job1,Construction of 9 Nos Rooms at Government Senior Secondary School Jatehri Tehsil Bangana Distt. Una (H.P),04-Mar-2022,"INR 6,043,122",90.0,SHASHI PAL,05-Mar-2022 05:19 PM,AOCJatehri.pdf (4002.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt HDM DAO,SHASHI PAL,25-Nov-2021 04:42 PM,finsummary_79659.pdf (560.33 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,2.0,242095.0,kamal singh,18-Nov-2021 01:47 PM,Rejected-AOC,Higher side,05-Mar-2022 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without Liquidat,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
