Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Technical cover is opened and processed for evaluation,NEELAKSHI BAITHURI,01-Dec-2021 05:44 PM,,Finance,Financial cover is opened and processed for evaluation,NEELAKSHI BAITHURI,24-Jan-2022 11:57 AM,,BOQ Comparative Chart,05-Feb-2022,INR 4487479.9,120.0,NEELAKSHI BAITHURI,09-Mar-2022 03:54 PM,Mazgaon.pdf (665.00 KB),As per lowest quoted price,1.0,127340.0,Power Tools and Engineering,INR,4487479.9,1,127192,Anil Chakraborty,29-Nov-2021 10:12 PM,Rejected-AOC,Not Qualified,09-Mar-2022 03:54 PM,DoA,Internal,"DoH, Sr.FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,22-Jan-2022 02:30 PM,24-Jan-2022 11:00 AM,techsummary_35993.pdf (1856.48 KB),Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23390_24,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/147,Construction of office building of the ADO Officer including sanitary/water supply and electrification works and supply of furniture,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,05-Feb-2022 03:17 PM,finsummary_35993.pdf (1712.14 KB),AOC,Construction of office building of the ADO Officer including sanitary/water supply and electrification works and supply of furniture,"Construction of office building of the ADO Officer including sanitary/water supply and electrification works and supply of furniture at Mazgaon, Depota ADO circle Dist. Sonitpur",Please refer Tender documents. ,NA ,"60,00,000",Civil Works,NA ,Tender,45.0,120.0,Sonitpur,784001.0,NA ,NA ,NA ,O/o Chief Engineer Agriculture,No ,No,Director of Agriculture,"Directorate of Agriculture, Assam, Khanapara, Ghy-22",0.0,Nil,Nil,No,Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/147,2021_DAASC_23390_24,Yes,Open Tender,Works,Works,2.0,No,No,Not Applicable,No,No,No,0.0,No,fixed,,Nil,Nil,16-Nov-2021 02:00 PM,01-Dec-2021 11:00 AM,16-Nov-2021 04:00 PM,30-Nov-2021 01:00 PM,NA ,NA ,17-Nov-2021 02:00 PM,30-Nov-2021 01:00 PM,24-Jan-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Technical documents as per RFQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,127078,HEMANTA KR MAHANTA,29-Nov-2021 02:06 PM,Rejected-AOC,Not Qualified,09-Mar-2022 03:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned and signed RFQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,127214,Hiya Construction,29-Nov-2021 11:27 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:30 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,4,127228,JAGADISH BARUAH,30-Nov-2021 04:26 AM,Rejected-AOC,Not Qualified,09-Mar-2022 03:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,5,126932,KABENDRA DEKA,28-Nov-2021 12:48 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:30 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,6,127082,KALPANA CONSTRUCTION,29-Nov-2021 02:37 PM,Rejected-AOC,Not Qualified,09-Mar-2022 03:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,7,127199,MD BAHARUL ISLAM,30-Nov-2021 12:06 AM,Rejected-AOC,Not Qualified,09-Mar-2022 03:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,8,127144,M/S AGH CONSTRUCTIONS,29-Nov-2021 07:42 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:30 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,9,126960,M/S J D ENTERPRISE,28-Nov-2021 04:31 PM,Rejected-AOC,Not Qualified,09-Mar-2022 03:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,10,127340,Power Tools and Engineering,30-Nov-2021 12:25 PM,Accepted-AOC,Qualified,09-Mar-2022 03:54 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
