Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Technical Bid Opened and processed for Technical Evaluation.,Deepak Talukdar,15-Mar-2022 06:58 PM,technical_37516.pdf,1.0,133745.0,CHANDAN HALOI,INR,4500000.0,Finance,Financial Bid Opened and processed for Financial Evaluation.,Deepak Talukdar,16-Mar-2022 10:30 AM,finance_37516.pdf,BOQ Comparative Chart,1,133657,Ajit Bhattacheryaa,28-Feb-2022 02:36 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,Additional Commissioner,Internal,"Member Secretary Chief Engineer, Member All Executive Engineer, Chief Accounts and Audit Officer",Anuj Kr. Talukdar,15-Mar-2022 07:56 PM,16-Mar-2022 09:00 AM,techsummary_37516.pdf (161.78 KB),18-Mar-2022,INR 4500000.0,90.0,Deepak Talukdar,18-Mar-2022 08:15 PM,PCKG_1.pdf (266.00 KB),"Construction of road, RCC drain and retaining wall at Jonaki Mahanta Path, pub Boragaon samiti beltol, Nepalibasti",1.0,Tender Revocation,Tender Revocation,12-Mar-2022 07:23 PM,RECOP.pdf ,814.02,Technical Opening,Additional Commissioner,Internal,"Chief Engineer Member Secretary, CA and AO Member, all Executive Engineer Member",Deepak Talukdar,18-Mar-2022 07:34 PM,finsummary_37516.pdf (123.58 KB),Guwahati Municipal Corporation,2022_GMC_24470_1,GER/ CE/2008/2021/Part-A/04 dated 07/02/2022,"Construction of road, RCC drain and retaining wall at Jonaki Mahanta Path, pub Boragaon samiti beltol, Nepalibasti",AOC,"Construction of road, RCC drain and retaining wall at Jonaki Mahanta Path, pub Boragaon samiti beltol, Nepalibasti",Improvement of Various works under 2nd Instalment of 15th FC for the FY 2020-21 during the FY 2021-22,Please refer Tender documents. ,NA ,"50,00,000",Civil Works,NA ,Tender,90.0,NA ,GUWAHATI,781001.0,NA ,NA ,NA ,"Office of the commissioner, panbazar, Ghy-01",No ,No,1.0,DD - Demand Draft,"THE COMMISSIONER, GMC","Office of the commissioner, panbazar, Ghy-01","1,00,000",Yes,fixed,,"THE COMMISSIONER, GMC",Guwahati,"1,000","THE COMMISSIONER, GMC",Guwahati,No,Guwahati Municipal Corporation,GER/ CE/2008/2021/Part-A/04 dated 07/02/2022,2022_GMC_24470_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,FEES,23-Feb-2022 11:10 AM,02-Mar-2022 02:00 PM,23-Feb-2022 11:10 AM,01-Mar-2022 02:00 PM,NA ,NA ,23-Feb-2022 11:10 AM,01-Mar-2022 02:00 PM,16-Mar-2022 09:00 AM,AOC
,,,,,,,,,,,,,,,,2,133727,Arihant Sales Corporation,01-Mar-2022 09:51 AM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,133686,ARUP JYOTI MAJUMDAR,28-Feb-2022 06:43 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,133705,BONTI DUTTA,28-Feb-2022 08:40 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOCUMENT,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,133745,CHANDAN HALOI,01-Mar-2022 11:27 AM,Accepted-AOC,Work allotted,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,133704,HEMANTA DEKA,28-Feb-2022 08:48 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,133759,HRISHIKESH TALUKDAR,01-Mar-2022 12:29 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,133714,Indrajeet Sharma Pathak,28-Feb-2022 11:20 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,133703,Jintu Das,28-Feb-2022 08:28 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,133552,MADAN BORO,27-Feb-2022 03:00 PM,Rejected-AOC,Bid capacity less then Chandan Haloi,18-Mar-2022 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
