Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Public Works Roads Department,CE/STBR/ RIDF-XXVII/03/21-22/1 Dtd. 24 -08-2021,2021_PWD_22713_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"CE., PWD (Roads), Assam, Chandmari, Ghy-3","O/O The CE., PWD (Roads), Assam, Chandmari, Ghy-3",02-Sep-2021 10:00 AM,24-Sep-2021 11:00 AM,02-Sep-2021 10:30 AM,23-Sep-2021 02:00 PM,02-Sep-2021 10:30 AM ,23-Sep-2021 02:00 PM ,02-Sep-2021 10:30 AM,23-Sep-2021 02:00 PM,30-Nov-2021 01:00 PM,"20,00,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam, Chandmari",GUWAHATI,1.0,DD - Demand Draft,"10,000","Empowered officer, Assam State Road Board",GUWAHATI,No,1.0,Fee/PreQual/Technical,.pdf,DOCUMENT COST,RIDF-XXVII/ Hojai/01 Improvement/Construction of roads (1) (i)Chowdhury Bazar to Dakhin Samarali Road (From Ch.0.00m to Ch.2330.00m and From Ch.2750.00m to Ch.3310.00m) by providing ICBP work (ii) Nilbagan Murajhar Road (From Ch.00m to Ch.1500.00m) b,RIDF-XXVII/ Hojai/01 Improvement/Construction of roads (1) (i)Chowdhury Bazar to Dakhin Samarali Road (From Ch.0.00m to Ch.2330.00m and From Ch.2750.00m to Ch.3310.00m) by providing ICBP work (ii) Nilbagan Murajhar Road (From Ch.00m to Ch.1500.00m) b,Please refer Tender documents. ,NA ,"10,00,00,000",Civil Works – Roads,NA ,Tender,180.0,730.0,Jamunamukh,782428.0,"O/O The CE., PWD (Roads), Assam, Chandmari, Ghy-3 ","O/O The CE., PWD (Roads), Assam, Chandmari, Ghy-3 ",10-Sep-2021 11:00 AM ,"O/O The CE., PWD (Roads), Assam, Chandmari, Ghy-3",No ,No,AOC,1,123203,BHIRGU NATH SHAH,22-Sep-2021 10:08 PM,Rejected-Technical,Not-Qualified,30-Nov-2021 12:55 PM,Finance,Summary,Manisha Das,30-Nov-2021 02:12 PM,finance_35089.pdf,BOQ Comparative Chart,CE PWD (Roads),Internal,,Naznina Yesmin,30-Nov-2021 12:55 PM,30-Nov-2021 01:00 PM,techsummary_35089.pdf (206.49 KB),07-Mar-2022,INR 1.0E+8,730.0,Manisha Das,07-Mar-2022 02:21 PM,WO_Hojai-01.pdf (1003.00 KB),CE PWD (Roads),Internal,,Manisha Das,07-Mar-2022 02:20 PM,finsummary_35089.pdf (1002.55 KB),1.0,123200.0,Tosa Associate,INR,90000000.0,Public Works Roads Department,2021_PWD_22713_9,CE/STBR/ RIDF-XXVII/03/21-22/1 Dtd. 24 -08-2021,RIDF-XXVII/ Hojai/01 Improvement/Construction of roads (1) (i)Chowdhury Bazar to Dakhin Samarali Road (From Ch.0.00m to Ch.2330.00m and From Ch.2750.00m to Ch.3310.00m) by providing ICBP work (ii) Nilbagan Murajhar Road (From Ch.00m to Ch.1500.00m) b,Technical,Summary,Manisha Das,24-Sep-2021 12:42 PM,technical_35089.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,.pdf,BID SECURITY,,,,,,,,,,,,,,,,,,,AOC,2,123173,Faruk Ahmed Mazumder,23-Sep-2021 10:23 AM,Rejected-AOC,L1,07-Mar-2022 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,AOC,3,123155,GUNJ ASSOCIATES,22-Sep-2021 03:28 PM,Rejected-AOC,L1,07-Mar-2022 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,AOC,4,123090,Md. AsabUddin Choudhury,21-Sep-2021 06:24 PM,Rejected-AOC,L1,07-Mar-2022 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,5,123216,MD SOIDUR RAHMAN,23-Sep-2021 03:38 AM,Rejected-Technical,Not-Qualified,30-Nov-2021 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,AOC,6,123226,M/S 4 Star Group,23-Sep-2021 10:29 AM,Rejected-AOC,L5,07-Mar-2022 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,123213,MS S B B Associates,23-Sep-2021 01:07 PM,Rejected-Technical,Not-Qualified,30-Nov-2021 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,123265,Pranab Sarmah,23-Sep-2021 12:41 PM,Rejected-Technical,Not-Qualified,30-Nov-2021 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,123196,Raju Choudhury,23-Sep-2021 01:18 PM,Rejected-AOC,L1,07-Mar-2022 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,123097,Ramawtar Agarwala,22-Sep-2021 11:02 AM,Rejected-AOC,L4,07-Mar-2022 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
