S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.3,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To
1.0,ICICI BANK,"28,950",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,Executive Engineer,Palampur Division HPPWD Palampur,Construction of Cow Sanctuary at Kudan in Tehsil Palampur Distt. Kangra (HP) (SW- Construction of Chain link fencing boundary wall Sourthern and Western Side),Construction of Cow Sanctuary at Kudan in Tehsil Palampur Distt. Kangra (HP) (SW- Construction of Chain link fencing boundary wall Sourthern and Western Side),Please refer Tender documents. ,NA ,"14,46,985",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,07-Jan-2022 10:00 AM,13-Jan-2022 11:30 AM,07-Jan-2022 10:00 AM,13-Jan-2022 11:00 AM,NA ,NA ,07-Jan-2022 10:00 AM,13-Jan-2022 11:00 AM,19-Jan-2022 04:30 PM,PWD,15951-83 dated 27.12.2021,2022_PWD_55436_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,PWD,2022_PWD_55436_1,15951-83 dated 27.12.2021,Construction of Cow Sanctuary at Kudan in Tehsil Palampur Distt. Kangra (HP) (SW- Construction of Chain link fencing boundary wall Sourthern and Western Side),Er.B.M Thakur,Internal,"Tender Asstt, Supdt, HDM, DAO, AE to EE, AE Gopalpur",Manoj Sood,19-Jan-2022 03:58 PM,19-Jan-2022 04:30 PM,techsummary_83170.pdf (945.84 KB),Er.B.M Thakur,Internal,"Tender Asstt, Supdt, HDM, DAO, AE to EE, AE Gopalpur",Manoj Sood,20-Jan-2022 03:59 PM,finsummary_83170.pdf (520.01 KB),04-Mar-2022,"INR 1,446,985",90.0,Manoj Sood,20-Sep-2023 05:07 PM,20735.pdf (241.00 KB),AOC,Finance,Financial opening bid summary,Manoj Sood,20-Jan-2022 03:54 PM,finance_83170.pdf,BOQ Comparative Chart,1.0,255101.0,Anshul Gupta,INR,"1,790,524.6",1.0,255101.0,Anshul Gupta,12-Jan-2022 11:48 AM,Accepted-AOC,AOC,20-Sep-2023,Technical,Technical Summary,Manoj Sood,19-Jan-2022 03:54 PM,technical_83170.pdf,1.0,Corrigendum,Corrigendum No. 17676-705 dated 19.01.2022,19-Jan-2022 02:49 PM,Corrigendum.PDF ,516.62,Technical Opening
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,255115.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,11-Jan-2022 05:52 PM,Rejected-Finance,Bidder is L3,20-Jan-2022,,,,,,,,,,,,
,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,255358.0,shiv shakti interprises,13-Jan-2022 10:53 AM,Rejected-Finance,Bidder is L2,20-Jan-2022,,,,,,,,,,,,
,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,255327.0,VIJAY KUMAR,13-Jan-2022 10:54 AM,Rejected-Finance,Bidder is L4,20-Jan-2022,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
