Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
23-Dec-2021 10:30 AM,30-Dec-2021 10:30 AM,23-Dec-2021 10:30 AM,30-Dec-2021 10:30 AM,NA ,NA ,23-Dec-2021 10:30 AM,30-Dec-2021 10:30 AM,06-Jan-2022 03:00 PM,1.0,ICICI BANK,PWD,Up-Gradation of road from Manpul Mazihar Sera Road,2021_PWD_54932_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Exeutive Engineer Barsar Division HPPWD Barsar,Up-Gradation of road from Manpul Mazihar Sera Road Probar Tutroo Bangana Km. 0/0 to 6/00,"(SH Removal of formation Deficiency, C.D. works, Parapets, R/Wall, B/Wall and Gabions wall M/T works and P.C.C. drain) under Nabard RIDF-XXVII",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,365.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. All requisite documents are required to be submitted as per Clause 12.1 and 12.2 of SBD.,"8,53,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,AOC,PWD,2021_PWD_54932_1,Up-Gradation of road from Manpul Mazihar Sera Road,Up-Gradation of road from Manpul Mazihar Sera Road Probar Tutroo Bangana Km. 0/0 to 6/00,Executive Engineer,Internal,"GA,Supdt,DAO,HDM",Anil Nagpal,04-Jan-2022 01:11 PM,06-Jan-2022 03:00 PM,techsummary_82372.pdf (1543.98 KB),Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Vinod Kanwar,19-Mar-2022 10:34 AM,finsummary_82372.pdf (296.77 KB),19-Mar-2022,"INR 43,406,468",365.0,Vinod Kanwar,19-Mar-2022 10:37 AM,A.O.C.pdf (502.00 KB),Attached,1.0,252309.0,DEEPAK JOSHI,29-Dec-2021 02:23 PM,Accepted-AOC,L1,19-Mar-2022 10:37 AM,Technical,Attached,Anil Nagpal,04-Jan-2022 01:07 PM,technical_82372.pdf,1.0,252309.0,DEEPAK JOSHI,INR,"43,405,988.48",Finance,Attached,Vinod Kanwar,19-Mar-2022 10:29 AM,finance_82372.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. Submission of Original documents as per clause 12.2 (D) Form of bid Technical-Financial Part-II.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,252929.0,Gian Chand Contactor,30-Dec-2021 09:04 AM,Rejected-Technical,Non Responsive,04-Jan-2022 01:11 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Similar nature of works executed (Clause 4.4 of ITB) Works in hand (Clause 4.4 of ITB) Machinerie,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,252364.0,S.S.Chauhans Construction Private Limted,30-Dec-2021 09:23 AM,Rejected-Finance,L1L2,19-Mar-2022 10:34 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"4. Scanned copy of the certificates showing detail of similar nature of works, works in hand and",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5. Affidavit regarding correctness of certificates (Clause 4.4 of ITB) Similar nature of work execut,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Annual Turn over Certificates from Charted Accountant for Last Five Financial years with breakup,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Contractor Registration Certificate (Clause 3 of ITB) Form of bid for Technical Qualification Pa,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Copy of PAN Card issued vide Income Tax Authorities (Clause 4.4 of ITB) Submission of Original Do,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Online Bid Security shall be furnished in the amount specified in the appendix to ITB (Clause 16,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Online cost of Bid Document (Clause 8.2 of ITB),,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,11. Any other documents as specified by the State in bid data sheet.,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
