Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Residential Accommodation for H.P. P.W.D Colony at Nagrota Bagwan in Distt Kangra (HP) (SH-Balance work o f site development and Boundary wall).,Construction of Residential Accommodation for H.P. P.W.D Colony at Nagrota Bagwan in Distt Kangra (HP) (SH-Balance work o f site development and Boundary wall).,Please refer Tender documents. ,NA ,"25,26,061",Civil Works,NA ,Tender,120.0,120.0,Tanda,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,"1,500",Nil,Nil,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD- Civil-14610-39-Tanda,2022_PWD_57039_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,21-Feb-2022 02:00 PM,04-Mar-2022 11:30 AM,21-Feb-2022 02:00 PM,04-Mar-2022 10:00 AM,NA ,NA ,21-Feb-2022 02:00 PM,04-Mar-2022 10:00 AM,16-Mar-2022 11:00 AM,"45,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,AOC,1.0,267516.0,ARPIT CHOUDHARY,03-Mar-2022 06:05 PM,Rejected-Technical,Not Fulfill Criteria,15-Mar-2022 01:31 PM,Technical,Sum,Suresh Kumar Walia,15-Mar-2022 01:30 PM,technical_86052.pdf,1.0,267053.0,sahil choudhary govt contractor,INR,"2,326,196",Finance,sum,Suresh Kumar Walia,29-Mar-2022 02:41 PM,finance_86052.pdf,BOQ Comparative Chart,PWD,2022_PWD_57039_1,PWD- Civil-14610-39-Tanda,Construction of Residential Accommodation for H.P. P.W.D Colony at Nagrota Bagwan in Distt Kangra (HP) (SH-Balance work o f site development and Boundary wall).,Executive Engineer,Internal,AE Nagrota Sr DAO Supdt HDM,Suresh Kumar Walia,15-Mar-2022 01:31 PM,16-Mar-2022 11:00 AM,techsummary_86052.pdf (941.83 KB),Executive Engineer,Internal,AE Sr DAO Supdt HDM,Suresh Kumar Walia,29-Mar-2022 02:45 PM,finsummary_86052.pdf (193.90 KB),29-Mar-2022,"INR 2,526,061",120.0,Suresh Kumar Walia,29-Mar-2022 02:47 PM,Award.pdf (1589.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,AOC,2.0,267776.0,BHAG SINGH,04-Mar-2022 09:02 AM,Rejected-Finance,Lowest 2,29-Mar-2022 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,AOC,3.0,267053.0,sahil choudhary govt contractor,04-Mar-2022 08:44 AM,Accepted-AOC,Award,29-Mar-2022 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN No, EPF No",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct notary/1st class,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted notary / 1st class maj,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
