Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 13874-944 dt 03-01-2022,2022_HPIPH_55314_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,04-Jan-2022 09:00 AM,10-Jan-2022 11:30 AM,04-Jan-2022 09:00 AM,10-Jan-2022 11:00 AM,NA ,NA ,04-Jan-2022 09:00 AM,10-Jan-2022 11:00 AM,18-Jan-2022 12:30 PM,"19,350",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Augmentation of LWSS Dadahu in GP Dadahu Tehsil Dadahu Distt. Sirmour HP,"C/O pump house cum attendant Qtr, Kitchen and Toilet) under NABARD.",Please refer Tender documents. ,NA ,"9,66,543",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned in NIT,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,AOC,Finance,Financial Summary,Ashish Rana,19-Jan-2022 04:12 PM,finance_82947.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,18-Jan-2022 12:09 PM,technical_82947.pdf,21-Mar-2022,"INR 966,543",90.0,Ashish Rana,21-Mar-2022 06:23 PM,AOC.pdf (631.00 KB),Award to Contractor,Er Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,18-Jan-2022 12:28 PM,18-Jan-2022 12:30 PM,techsummary_82947.pdf (318.24 KB),1.0,254630.0,akhilandco@gmail.com,09-Jan-2022 11:43 AM,Rejected-Finance,Reject,21-Mar-2022 06:21 PM,ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,21-Mar-2022 06:21 PM,finsummary_82947.pdf (631.47 KB),1.0,254716.0,PREM SINGH,INR,"557,014","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_55314_3,NHN-SMROO-722- 13874-944 dt 03-01-2022,Augmentation of LWSS Dadahu in GP Dadahu Tehsil Dadahu Distt. Sirmour HP,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,254614.0,Chaman Lal Contractor,08-Jan-2022 07:55 PM,Rejected-Finance,Reject,21-Mar-2022 06:21 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,254617.0,Deepak Kumar Contractor,08-Jan-2022 08:24 PM,Rejected-Finance,Reject,21-Mar-2022 06:21 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,254621.0,Jawant Singh,08-Jan-2022 08:37 PM,Rejected-Finance,Reject,21-Mar-2022 06:21 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,254704.0,OM PARKASH SHARMA,09-Jan-2022 08:53 PM,Rejected-Finance,Reject,21-Mar-2022 06:21 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,254716.0,PREM SINGH,10-Jan-2022 09:23 AM,Accepted-AOC,AOC,21-Mar-2022 06:23 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully all terms and condition as mentioned in NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
