EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
0.0,No,fixed,,Nil,Nil,Director of Agriculture,"Directorate of Agriculture, Assam, Khanapara, Ghy-22",Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/147,2021_DAASC_23390_18,Yes,Open Tender,Works,Works,2.0,No,No,Not Applicable,No,No,No,Construction of office building of the ADO Officer including sanitary/water supply and electrification works and supply of furniture,"Construction of office building of the ADO Officer including sanitary/water supply and electrification works and supply of furniture at Niz Borbogia, Jamuguri ADO circle Dist. Sonitpur",Please refer Tender documents. ,NA ,"60,00,000",Civil Works,NA ,Tender,45.0,120.0,Sonitpur,782124.0,NA ,NA ,NA ,O/o Chief Engineer Agriculture,No ,No,16-Nov-2021 02:00 PM,01-Dec-2021 11:00 AM,16-Nov-2021 04:00 PM,30-Nov-2021 01:00 PM,NA ,NA ,17-Nov-2021 02:00 PM,30-Nov-2021 01:00 PM,24-Jan-2022 11:00 AM,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical documents as per RFQ,AOC,07-Feb-2022,INR 4619999.03,120.0,NEELAKSHI BAITHURI,09-Mar-2022 11:08 AM,N-z_Borbhogia.pdf (610.00 KB),As per lowest quoted price,Technical,Technical cover is opened and processed for evaluation,NEELAKSHI BAITHURI,01-Dec-2021 05:34 PM,,1,127187,Anil Chakraborty,29-Nov-2021 10:15 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:38 PM,DoA,Internal,"DoH, Sr.FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,05-Feb-2022 03:25 PM,finsummary_35986.pdf (1712.14 KB),Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23390_18,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/147,Construction of office building of the ADO Officer including sanitary/water supply and electrification works and supply of furniture,1.0,127246.0,JAGADISH BARUAH,INR,4619999.03,Finance,Financial cover is opened and processed for evaluation,NEELAKSHI BAITHURI,24-Jan-2022 02:50 PM,,BOQ Comparative Chart,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,22-Jan-2022 02:38 PM,24-Jan-2022 11:00 AM,techsummary_35986.pdf (1856.48 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned and signed RFQ,AOC,,,,,,,,,,,,,2,127156,Gaziul Hassan,29-Nov-2021 08:04 PM,Rejected-AOC,Not qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,AOC,,,,,,,,,,,,,3,127077,HEMANTA KR MAHANTA,29-Nov-2021 02:01 PM,Rejected-AOC,Not qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,127246,JAGADISH BARUAH,30-Nov-2021 04:03 AM,Accepted-AOC,Qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,126933,KABENDRA DEKA,28-Nov-2021 12:52 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,127220,MD BAHARUL ISLAM,30-Nov-2021 12:10 AM,Rejected-AOC,Not qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,127105,M/S AGH CONSTRUCTIONS,29-Nov-2021 06:55 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,127314,M/S BORAH ENTERPRISE,30-Nov-2021 11:35 AM,Rejected-AOC,Not qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,126756,NAYAN JYOTI BHUYAN,24-Nov-2021 01:57 PM,Rejected-Technical,As per minutes,22-Jan-2022 02:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,127325,Power Tools and Engineering,30-Nov-2021 11:52 AM,Rejected-AOC,Not qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,11,127222,SRI MONTU NEOG,30-Nov-2021 12:14 AM,Rejected-AOC,Not qualified,09-Mar-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
