Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Technical,SUMMARY UPLOADED,Ramesh Rana,03-Mar-2022 02:28 PM,technical_84423.pdf,1.0,261134.0,HEM LATA,04-Feb-2022 05:25 PM,Accepted-AOC,Lowest bidder to awarded work,13-Mar-2022 02:38 PM,Finance,summary uploaded,Ramesh Rana,13-Mar-2022 02:28 PM,finance_84423.pdf,BOQ Comparative Chart,1.0,261134.0,HEM LATA,INR,"939,406",Executive Engineer,Internal,"XEN, AE,Supdt,HDM, Sr. Asstt",Ramesh Rana,13-Mar-2022 02:35 PM,finsummary_84423.pdf (187.88 KB),13-Mar-2022,"INR 909,580",60.0,Ramesh Rana,13-Mar-2022 02:38 PM,a.pdf (885.00 KB),PWD,2022_PWD_56165_2,PW-KD-E-Tender/2021-22-5629-31 dt 19-01-2022,M/T on Link road to Kanlog in K.M. 0/00 to 1/00,Executive Engineer,Internal,"XEN, AE, HDM, Supdt. Sr. Asstt",Ramesh Rana,03-Mar-2022 02:32 PM,03-Mar-2022 02:35 PM,techsummary_84423.pdf (1301.81 KB),AOC,PWD,PW-KD-E-Tender/2021-22-5629-31 dt 19-01-2022,2022_PWD_56165_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,28-Jan-2022 03:00 PM,05-Feb-2022 11:00 AM,28-Jan-2022 03:00 PM,04-Feb-2022 06:00 PM,NA ,NA ,28-Jan-2022 03:00 PM,04-Feb-2022 06:00 PM,03-Mar-2022 02:35 PM,350.0,Nil,Nil,No,M/T on Link road to Kanlog in K.M. 0/00 to 1/00,"Providing and Laying, GSB, WBM, G-II in K.M. 0/00 to 0/700",Please refer Tender documents. ,NA ,"9,09,580",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,"18,200",No,fixed,,Nil,Nil,Executive Engineer,Division HPPWD Kotkhai,AOC
,,,,,2.0,261133.0,M/s Pardeep Sublaik,03-Feb-2022 07:52 PM,Rejected-Finance,L 2 Bidder,13-Mar-2022 02:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,3.0,261204.0,PANKAJ CHAUHAN GOVT. CONTRACTOR,04-Feb-2022 05:15 PM,Rejected-Technical,Not Qualified,03-Mar-2022 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
