Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
26-Feb-2022,"INR 3,947,836",365.0,Dalip singh Patial,03-Mar-2022 03:48 PM,award9580-85.pdf (834.00 KB),awarded to lowest bidder after negotiation and approved by se. 2nd electrical circle hppwd djaramshala vide letter no.2836-37 dated 17.02.2022,Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,05-Feb-2022 08:56 PM,finsummary_79123.pdf (204.64 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM (TQC approved by the S.E. 2nd Elect. Circle HPPWD Dharamshala),Dalip singh Patial,05-Nov-2021 02:26 PM,05-Nov-2021 03:00 PM,techsummary_79123.pdf (556.11 KB),PWD,2021_PWD_52916_2,Elect. Division HPPWD Palampur,"Construction of additional accommodation for I.T.I. building at Garnota in Tehsil Bhatiyat, Distt. Chamba, HP (SH- Providing E.I. therein)",Finance,as per uploaded document,Dalip singh Patial,05-Feb-2022 04:35 PM,finance_79123.pdf,BOQ Comparative Chart,1.0,240303.0,Malhotra Associates,INR,"4,942,510",Technical,as per attached document,Dalip singh Patial,05-Nov-2021 01:23 PM,technical_79123.pdf,1.0,240223.0,Deepak Sood,12-Oct-2021 08:00 AM,Rejected-AOC,Bidder is L3,03-Mar-2022 03:48 PM,AOC,1.0,ICICI BANK,"Construction of additional accommodation for I.T.I. building at Garnota in Tehsil Bhatiyat, Distt. Chamba, HP (SH- Providing E.I. therein)","Construction of additional accommodation for I.T.I. building at Garnota in Tehsil Bhatiyat, Distt. Chamba, HP (SH- Providing E.I. therein)",Please refer Tender documents. ,NA ,"39,47,836",Electrical Works,NA ,Tender,120.0,365.0,Garnota in Distt. Chamba,176207.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,online receipt/Bank Draft towards the cost of bid documents,"1,500",Executive Engineer Elect. Division HPPWD Palampur,Executive Engineer Elect. Division HPPWD Palampur,No,Executive Engineer,Elect. Division HPPWD Palampur,PWD,Elect. Division HPPWD Palampur,2021_PWD_52916_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"66,800",No,fixed,,Executive Engineer Elect. Division HPPWD Palampur,Executive Engineer Elect. Division HPPWD Palampur,06-Oct-2021 05:00 PM,15-Oct-2021 11:30 AM,06-Oct-2021 05:00 PM,14-Oct-2021 05:00 PM,NA ,NA ,06-Oct-2021 05:00 PM,14-Oct-2021 05:00 PM,05-Nov-2021 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,240457.0,JAGJIT RAI,13-Oct-2021 09:18 PM,Rejected-Technical,Technically Not Qualified,05-Nov-2021 02:26 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,online receipt/FDR duly pledged towards the Earnest Money Deposited (EMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,240146.0,JAMWAL ELECTRICAL WORKS,10-Oct-2021 06:55 PM,Rejected-AOC,Bidder is L2,03-Mar-2022 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,valid registration certificate in appropriate class in HPPWD (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,240497.0,KUMAR ELECTRONICS CO.,14-Oct-2021 04:38 PM,Rejected-Technical,Technically Not Qualified,05-Nov-2021 02:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,240303.0,Malhotra Associates,11-Oct-2021 08:25 PM,Accepted-AOC,Bidder is L1,03-Mar-2022 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,240266.0,UNITED ENGINEEER AND CONTRACTOR,11-Oct-2021 03:19 PM,Rejected-Technical,Technically Not Qualified,05-Nov-2021 02:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate (minimum one work of 40 percent of the estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
