Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date.1,Bid Opening Date.1,Bid Submission Opening Date,Bid Submission Closing Date,Pre Bid Meeting Date.1,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Technical cover is opened and processed for evaluation,NEELAKSHI BAITHURI,24-Nov-2021 01:10 PM,,1.0,125981.0,UTPAL KUMAR DAS,INR,4401000.0,Finance,Financial cover is opened and processed,Upasana Devi,29-Dec-2021 12:39 PM,,BOQ Comparative Chart,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,21-Jan-2022 02:17 PM,finsummary_35787.pdf (956.09 KB),Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23257_17,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at BRC-Ghograpar,1,126257,AKD CONSTRUCTION & SUPPLIER,14-Nov-2021 05:33 PM,Rejected-AOC,Not Qualified,09-Mar-2022 12:12 PM,27-Jan-2022,INR 4401000.0,120.0,NEELAKSHI BAITHURI,09-Mar-2022 12:12 PM,BRC.pdf (420.00 KB),As per lowest quoted price,DOA,Internal,"DOH, Sr.FAM, MD, Seeds, PME, ARIAS etc.",NEELAKSHI BAITHURI,23-Dec-2021 04:28 PM,techsummary_35787.pdf (1344.24 KB),AOC,30-Oct-2021 02:00 PM,16-Nov-2021 02:00 PM,30-Oct-2021 04:00 PM,15-Nov-2021 01:00 PM,NA ,NA ,01-Nov-2021 02:00 PM,15-Nov-2021 01:00 PM,29-Dec-2021 12:00 PM,Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,2021_DAASC_23257_17,Yes,Open Tender,Works,Works,2.0,No,No,Not Applicable,No,No,Yes,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at BRC-Ghograpar,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at BRC-Ghograpar,Please refer RFQ documents. ,NA ,"60,00,000",Civil Works,NA ,Tender,45.0,120.0,Nalbari,781022.0,NA ,NA ,NA ,o/o the Chief Engineer Agriculture Assam Khanapara,No ,No,1.0,Corrigendum,BOQ,,Director of Agriculture,"Directorate of Agriculture, Assam, Khanapara,Ghy-22",23-Dec-2021 05:00 PM,29-Dec-2021 12:00 PM,23-Dec-2021 06:00 PM,28-Dec-2021 05:00 PM,,1.0,Fee/PreQual/Technical,.pdf,RFQ for Construction of office building of the ADO Officer including sanitary etc,0.0,No,fixed,,Nil,Nil,0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,125910,Badrul Islam,10-Nov-2021 05:55 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,126225,DHIRAJ GOGOI,14-Nov-2021 05:23 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,4,126437,GANPATI CONSTRUCTION COMPANY,15-Nov-2021 11:59 AM,Rejected-AOC,Not Qualified,09-Mar-2022 12:12 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,5,126327,JAGADISH BARUAH,15-Nov-2021 12:42 PM,Rejected-AOC,Not Qualified,09-Mar-2022 12:12 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,6,126210,Md. Rafiqul Islam,14-Nov-2021 06:03 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,126249,M/S AYESA CONSTRUCTION & SUPPLY,14-Nov-2021 05:03 PM,Rejected-Finance,Due to rate not quoted,21-Jan-2022 02:17 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,126204,M/S BORAH ENTERPRISE,14-Nov-2021 03:16 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,126268,M/S J D ENTERPRISE,14-Nov-2021 06:02 PM,Rejected-AOC,Not Qualified,09-Mar-2022 12:12 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,126458,MS RUBI ENTERPRISE,15-Nov-2021 12:47 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,11,125947,M/S S.S ENTERPRISE,13-Nov-2021 05:46 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,12,126251,NORTH EAST ENTERPRISE,14-Nov-2021 05:08 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,13,126049,Sahjahan Ali,13-Nov-2021 02:50 PM,Rejected-AOC,Not Qualified,09-Mar-2022 12:12 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,14,126462,SHAMIM AHMED,15-Nov-2021 12:48 PM,Rejected-Technical,As per Minutes,23-Dec-2021 04:28 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,15,126166,Shri Prasanta Lahkar,27-Dec-2021 09:29 PM,Rejected-AOC,Not Qualified,09-Mar-2022 12:12 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,16,125981,UTPAL KUMAR DAS,13-Nov-2021 07:14 PM,Accepted-AOC,Qualified,09-Mar-2022 12:12 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
