Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_46890_1,110-59,"Package D6 Engineering procurement, construction, testing, commissioning, trial run and operation and maintenance of various components of Massal and Multi Village Water Supply scheme for Block Nagrota Bagwan District Kangra for ultimate",1.0,212196.0,Thakur Constructions,INR,"256,137,618",ENC P JSV Mandi,Internal,CE PMU JSV Mandi CE DZ SE ENC P Mandi SE PMU SE Circle DZ EE ENC P EE PMU EE Nagrota Bagwan Dy Controller PMU,Suresh Mahajan,14-Mar-2022 10:44 AM,finsummary_70455.pdf (2457.26 KB),14-Mar-2022,"INR 259,187,618.38",730.0,Suresh Mahajan,14-Mar-2022 10:46 AM,awardnagrota.pdf (1091.00 KB),Award Letter,Finance,Proceeding financial,Rajesh Mongra,11-Mar-2022 03:41 PM,finance_70455.pdf,BOQ Comparative Chart,Technical,Proceeding Technical,Pardeep Kumar Sharma,02-Jun-2021 02:00 PM,technical_70455.pdf,N M Saini ENC P Mandi,Internal,CE PMU Mandi CE DZ SE Dharmshala EE JSD Nagrota Bagwan EE D PMU Mandi Deputy Controller PMU Mandi,Pardeep Kumar Sharma,02-Jun-2021 02:06 PM,02-Jun-2021 04:00 PM,techsummary_70455.pdf (2053.20 KB),1.0,212469.0,National India Construction Co.,17-May-2021 03:00 PM,Rejected-Finance,L2,14-Mar-2022 10:44 AM,AOC,"18,31,000",Yes,fixed,,Nil,Nil,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,110-59,2021_HPIPH_46890_1,Yes,Global Tenders,Lump-sum,Works,3.0,No,No,Online,No,No,No,CE PMU Mandi,"Project Director cum Chief Engineer, PMU, Jal Shakti Vibhag Mandi 175001 Himachal Pradesh","Package D6 Engineering procurement, construction, testing, commissioning, trial run and operation and maintenance of various components of Massal and Multi Village Water Supply scheme for Block Nagrota Bagwan District Kangra for ultimate","Engineering procurement, construction, testing, commissioning, trial run and operation and maintenance of various components of Massal and Multi Village Water Supply scheme for Block Nagrota Bagwan District Kangra for ultimate capacity of bringing 3.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,730.0,365.0,Nagrota Bagwan,176047.0,PMU Mandi  ,Engineer-in-Chief Project Jal Shakti Vibhag Mandi 175001 Himachal Pradesh  ,07-May-2021 11:00 AM ,Mandi at Tarna,No ,No,1.0,Fee,.pdf,Bid security and cost of bid form shall be submitted online as required NIT,"2,500",Nil,Nil,Yes,1.0,ICICI NEFT/RTGS,26-Apr-2021 05:00 PM,18-May-2021 11:30 AM,26-Apr-2021 05:00 PM,18-May-2021 11:00 AM,NA ,NA ,26-Apr-2021 05:00 PM,18-May-2021 11:00 AM,02-Jun-2021 04:00 PM,1.0,Corrigendum,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,212196.0,Thakur Constructions,18-May-2021 10:42 AM,Accepted-AOC,Accepted,14-Mar-2022 10:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration as required NIT condition,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212546.0,Unipro Techno Infrastructure Pvt Ltd,17-May-2021 06:51 PM,Rejected-Finance,L3,14-Mar-2022 10:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of EPF registration as required NIT,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turn Over of three years as per NIT,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Form as per Chapter IV of Form12 duly accepted,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of having successfully completed similar works during last 7 years as required NIT condit,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN No., GST registration and EPF registration as required NIT",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking as required NIT,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Flow diagram of the Water Treatment Plant/ Booster stage as per the site conditions.,,,,,,,,,,,,,,,,,,,,AOC
