S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,119659.0,MS Supreme Group of Construction,INR,2405018.0,Finance,FINANACIAL BID OPENED.,Dipjyoti Deka,28-Mar-2022 03:45 PM,,BOQ Comparative Chart,ED NHM,Internal,SE(E) SE (C) FA CON (CW) DF C (CW),Dipjyoti Deka,28-Mar-2022 04:24 PM,finsummary_34215.pdf (401.05 KB),National Health Mission||State Programme Management Unit - NHM,2021_NHM_22054_1,NHM/C-CW/32050/14/2020CONSTNHM,Repairing renovation of sub centres to upgrade them as health and wellness centre,1,119614,Altaf Hussain Laskar,19-Jul-2021 11:19 AM,Not Admitted-Finance,Others-Non responsive,28-Mar-2022 03:45 PM,ED,Internal,,Dipjyoti Deka,29-Nov-2021 02:00 PM,29-Nov-2021 02:15 PM,techsummary_34215.pdf (159.28 KB),Technical,tber,Dipjyoti Deka,29-Nov-2021 01:42 PM,,28-Mar-2022,INR 2405018.0,90.0,Dipjyoti Deka,28-Mar-2022 04:40 PM,18WO.pdf (399.00 KB),CONTARCT AMOUNT,AOC,Repairing renovation of sub centres to upgrade them as health and wellness centre,Repairing renovation of sub centres to upgrade them as health and wellness centre Group 18 4 nos of scheme in Hailakandi District.,Please refer Tender documents. ,NA ,"27,99,784",Civil Works - Building,NA ,Tender,180.0,90.0,Hailakandi District.,788163.0,NA ,NA ,NA ,Office of the Mission Director,No ,No,01-Jul-2021 02:00 PM,20-Jul-2021 04:00 PM,01-Jul-2021 02:00 PM,19-Jul-2021 02:00 PM,NA ,NA ,01-Jul-2021 02:00 PM,19-Jul-2021 02:00 PM,29-Nov-2021 02:15 PM,1.0,FDR - Fixed Deposit Receipt,1.0,Fee/PreQual/Technical,.pdf,SBD,National Health Mission||State Programme Management Unit - NHM,NHM/C-CW/32050/14/2020CONSTNHM,2021_NHM_22054_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"55,996",Yes,percentage,2.0%,"State Health Society, Assam","Guwahati, Assam","Mission Director, NHM, Assam","Office of the Mission Director, Saikia Commercial Complex, Christian basti Ghy-5, NHM, Assam","1,000","State Health Society, Assam","Guwahati, Assam",No,AOC
,,,,,,,,,,,,,,,,,,,,,2,119602,AZMAL HUSSAIN BARBHUIYA,19-Jul-2021 11:11 AM,Not Admitted-Finance,Others-non responsive,28-Mar-2022 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,DCR - Deposit at call receipt,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,119365,Hrishiraj Paul,17-Jul-2021 01:06 PM,Not Admitted-Fee/PreQual/Technical,Others-OBC-1%,29-Nov-2021 01:42 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bid Security, Cost of tender",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,119603,Imran Hussain Choudhury,19-Jul-2021 08:56 AM,Not Admitted-Finance,Others-Non responsive,28-Mar-2022 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,119599,JALAL UDDIN BARBHUIYA,19-Jul-2021 12:57 PM,Rejected-AOC,ACCEPTED,28-Mar-2022 04:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,119563,M S P and B ENTERPRISE,19-Jul-2021 12:12 PM,Rejected-AOC,ACCEPTED,28-Mar-2022 04:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,119659,MS Supreme Group of Construction,19-Jul-2021 12:28 PM,Accepted-AOC,ACCEPTED,28-Mar-2022 04:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,119395,Nazim Uddin Laskar,19-Jul-2021 10:36 AM,Rejected-AOC,ACCEPTED,28-Mar-2022 04:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,119404,PINTU PAUL,17-Jul-2021 08:50 PM,Rejected-Technical,not admitted,29-Nov-2021 02:00 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,119677,Winners Enterprise,19-Jul-2021 01:15 PM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not submitted,29-Nov-2021 01:42 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
