Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Sh. Manish Sehgal,Internal,,Manish Sehgal,10-Mar-2022 12:24 PM,finsummary_43875.pdf (507.22 KB),10-Mar-2022,"INR 1,521,313.5",270.0,Manish Sehgal,10-Mar-2022 12:27 PM,AOC.pdf (1577.00 KB),AOC,PWD,2019_PWD_30461_1,6390-429,C/O Daroh Gadiara Suri road Km. 0/000 to 2/000,EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Sh. Rajesh Sood Sr DAO, Sh Harjeet Singh Supdt, Sh Pawan Kumar HDM",Manish Sehgal,07-Sep-2019 03:49 PM,07-Sep-2019 03:55 PM,techsummary_43875.pdf (1408.11 KB),Finance,SUMMARY,Manish Sehgal,10-Mar-2022 12:20 PM,finance_43875.pdf,BOQ Comparative Chart,1.0,126906.0,Suresh Kumar,INR,"1,521,313.5",Technical,SUMMARY,Manish Sehgal,07-Sep-2019 03:45 PM,technical_43875.pdf,1.0,126872.0,Boby Singh,05-Aug-2019 09:51 PM,Rejected-Finance,BID RANK-L3,10-Mar-2022 12:24 PM,AOC,Executive Engineer,HPPWD Division Palampur,500.0,EE Palampur,EE Palampur,No,25-Jul-2019 04:35 PM,06-Aug-2019 03:00 PM,25-Jul-2019 04:40 PM,06-Aug-2019 02:30 PM,NA ,NA ,25-Jul-2019 04:45 PM,06-Aug-2019 02:30 PM,07-Sep-2019 03:55 PM,1.0,DD - Demand Draft,"30,000",No,fixed,,EE Palampur,EE Palampur,C/O Daroh Gadiara Suri road Km. 0/000 to 2/000,C/O 10.00 mtrs. span RCC slab culvert at RD 0/510,Please refer Tender documents. ,NA ,"14,98,497",Civil Works - Bridges,NA ,Tender,120.0,270.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,PWD,6390-429,2019_PWD_30461_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126628.0,deepak kumar,02-Aug-2019 06:10 PM,Rejected-Finance,BID RANK-L2,10-Mar-2022 12:24 PM,AOC,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,126452.0,manish dhadwal,31-Jul-2019 07:30 PM,Rejected-Finance,BID RANK-L4,10-Mar-2022 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,126906.0,Suresh Kumar,06-Aug-2019 01:43 PM,Accepted-AOC,BID RANK-L1,10-Mar-2022 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,126698.0,TANUJ SHARMA,06-Aug-2019 12:46 PM,Rejected-Finance,BID RANK-L6,10-Mar-2022 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,126594.0,Tilak Raj,02-Aug-2019 01:56 PM,Rejected-Finance,BID RANK-L5,10-Mar-2022 12:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN,AOC
