Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.3,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
28-Mar-2022,"INR 2,663,853",280.0,Vijay Kumar Aggarwal,30-Dec-2023 06:01 PM,Nakul112_1.pdf (515.00 KB),AOC,EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,08-Dec-2021 04:14 PM,finsummary_79424.pdf (130.16 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt",Pramod Upreti,09-Nov-2021 03:57 PM,13-Nov-2021 11:00 AM,techsummary_79424.pdf (492.89 KB),PWD,2021_PWD_53112_1,TA-9090-9198Dt-8-10-2021,"Routine maintenance of DNH road in Km 5/00 to 7/00, 9/00 to 14/00, 19/00 to 21/00)LPRR road in km 97/0 to 99/00 and 102/00 to 106/00) under Performance based Maintenance co",1.0,241453.0,Nakul Chauhan,INR,"1,864,697",Finance,financial summary,Yogesh Sharma,15-Nov-2021 01:30 PM,finance_79424.pdf,BOQ Comparative Chart,Technical,technical summary,Pramod Upreti,09-Nov-2021 03:52 PM,technical_79424.pdf,1.0,Tender Revocation,"Routine maintenance of DNH road in Km 5/00 to 7/00, 9/00 to 14/00, 19/00 to 21/00)LPRR road in km 97/0 to 99/00 and 102/00 to 106/00) under Performance based Maintenance co",09-Nov-2021 03:36 PM,333333.pdf ,479.42,Technical Opening,1.0,241237.0,M/s BHAWAN SINGH,27-Oct-2021 08:24 PM,Rejected-Finance,NOt lowest,08-Dec-2021,"47,500",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,ICICI BANK,"Routine maintenance of DNH road in Km 5/00 to 7/00, 9/00 to 14/00, 19/00 to 21/00)LPRR road in km 97/0 to 99/00 and 102/00 to 106/00) under Performance based Maintenance co","Routine maintenance of DNH road in Km 5/00 to 7/00, 9/00 to 14/00, 19/00 to 21/00)LPRR road in km 97/0 to 99/00 and 102/00 to 106/00) under Performance based Maintenance co",please refer to tender document ,NA ,"26,63,853",Civil Works - Roads,NA ,Rate Contract,90.0,280.0,Shillai,173025.0,NA ,NA ,NA ,Shillai,No ,No,1.0,Revised below 10 percent condition upto 30 percent,Other,,EE Shillai,Executive Engineer HP PWD Shillai,PWD,TA-9090-9198Dt-8-10-2021,2021_PWD_53112_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,23-Oct-2021 06:00 PM,30-Oct-2021 12:30 PM,23-Oct-2021 06:00 PM,29-Oct-2021 05:00 PM,NA ,NA ,23-Oct-2021 06:00 PM,29-Oct-2021 05:00 PM,13-Nov-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,241453.0,Nakul Chauhan,29-Oct-2021 10:22 AM,Accepted-AOC,Work Cancelled,30-Dec-2023,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,241523.0,SATISH KUMAR,29-Oct-2021 03:34 PM,Rejected-Finance,NOt lowest,08-Dec-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Special condition of the contract the Contractor must have Paver finisher and Vibratory roller
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy work done and work in hand general rule sr. No 19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy work done minimum one similar work done of amount not less than 40percent of estimate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq
