S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,254519.0,PRABHJOT SINGH GOVT CONTRACTOR,INR,"1,303,168",Finance,Fin bid opened,SHASHI PAL,10-Feb-2022 03:32 PM,finance_82587.pdf,BOQ Comparative Chart,Technical,Tech bid opened,SHASHI PAL,07-Feb-2022 12:31 PM,technical_82587.pdf,1.0,254229.0,Chander Kumar,11-Jan-2022 04:42 PM,Rejected-Finance,Not L-1,10-Feb-2022,22-Mar-2022,"INR 1,303,168",90.0,Dev Raj,04-Apr-2023 06:09 PM,3.pdf (1445.00 KB),Award,Er.S.P.Dhiman EE,Internal,Supdt HDM DAO,SHASHI PAL,10-Feb-2022 03:37 PM,finsummary_82587.pdf (577.94 KB),Er.S.P.Dhiman EE,Internal,Supdt HDM DAO,SHASHI PAL,07-Feb-2022 12:33 PM,08-Feb-2022 10:30 AM,techsummary_82587.pdf (635.84 KB),PWD,2021_PWD_55084_1,No.BGN/2020-21-10494-525 dated 20.12.2021Job3,C/O link road Saily to Handola via Kamoon Patian Km 0/000 to 11/120,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"21,000",Yes,fixed,,Nil,Nil,C/O link road Saily to Handola via Kamoon Patian Km 0/000 to 11/120,"P/L GSB, WMM and M/T in Km 7/998 to 8/706",Please refer Tender documents. ,NA ,"10,48,629",Civil Works - Roads,NA ,Tender,120.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),500.0,Nil,Nil,No,1.0,ICICI BANK,PWD,No.BGN/2020-21-10494-525 dated 20.12.2021Job3,2021_PWD_55084_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Dec-2021 11:00 AM,12-Jan-2022 11:00 AM,29-Dec-2021 11:30 AM,11-Jan-2022 06:00 PM,NA ,NA ,29-Dec-2021 11:30 AM,11-Jan-2022 06:00 PM,08-Feb-2022 10:30 AM
,,,,,,,,,,,,,,,,2.0,255026.0,Maynak Sharma,11-Jan-2022 05:19 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,254654.0,Nitish Thakur,11-Jan-2022 03:16 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,254519.0,PRABHJOT SINGH GOVT CONTRACTOR,10-Jan-2022 07:23 PM,Accepted-AOC,L1,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,254743.0,R.D. DUVEDI,11-Jan-2022 01:42 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without Liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
