Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,HPPWD Division Palampur,25-Jul-2019 12:55 PM,06-Aug-2019 03:00 PM,25-Jul-2019 01:00 PM,06-Aug-2019 02:30 PM,NA ,NA ,25-Jul-2019 01:05 PM,06-Aug-2019 02:30 PM,25-Sep-2019 03:35 PM,Construction of 10.37 mtrs. span RCC slab bridge double lane over Parla Nallah on H.S.T.M. road at RD 59/325 in Tehsil Palampur Distt. Kangra (H.P.) (Under CRF),Construction of 8.37 mtrs. span RCC ( Skew slab 45) Double lane bridge over Parla Nallah on H.S.T.M. road at RD 59/325) ( Job No. CRF/HP/2018-19/166),Please refer Tender documents. ,NA ,"1,41,41,708",Civil Works - Bridges,NA ,Tender,120.0,730.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,"5,000",EE Palampur,EE Palampur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD,1.0,DD - Demand Draft,"1,74,000",No,fixed,,EE Palampur,EE Palampur,PWD,6486-525,2019_PWD_30429_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,126801.0,Chander kant,INR,"10,508,433",Finance,Summary,Manish Sehgal,09-Oct-2019 12:57 PM,finance_43841.pdf,BOQ Comparative Chart,1.0,126801.0,Chander kant,06-Aug-2019 08:40 AM,Accepted-AOC,BIDDER RANK-L1,10-Mar-2022 12:31 PM,Technical,SUMMARY,Manish Sehgal,25-Sep-2019 03:24 PM,technical_43841.pdf,PWD,2019_PWD_30429_1,6486-525,Construction of 10.37 mtrs. span RCC slab bridge double lane over Parla Nallah on H.S.T.M. road at RD 59/325 in Tehsil Palampur Distt. Kangra (H.P.) (Under CRF),EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Sh. Rajesh Sood Sr DAO, Sh Harjeet Singh Supdt, Sh Pawan Kumar HDM",Manish Sehgal,25-Sep-2019 03:27 PM,25-Sep-2019 03:35 PM,techsummary_43841.pdf (1394.94 KB),EE Manish Sehgal,Internal,"Er Vijay Verma AE Bhawarna, Sh. Rajesh Sood Sr DAO, Sh Harjeet Singh Supdt, Sh Pawan Kumar HDM",Manish Sehgal,09-Oct-2019 01:04 PM,finsummary_43841.pdf (613.16 KB),09-Oct-2019,"INR 10,508,433.1",730.0,Manish Sehgal,10-Mar-2022 12:31 PM,AOC.pdf (1061.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,126875.0,SANJEEV DHADWAL,05-Aug-2019 10:39 PM,Rejected-Finance,L3,09-Oct-2019 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,126877.0,YUDHVIR SINGH,06-Aug-2019 11:47 AM,Rejected-Finance,L2,09-Oct-2019 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
