Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Tender Stage
Public Works Roads Department,2021_PWD_21490_5,CE/APART/39/2021/7,APART/NOCP/ROADS/B-05(Chenga Road),1,122233,Ganesh Daimary,04-Sep-2021 01:37 PM,Rejected-Finance,Rejected as L8,30-Dec-2021 04:34 PM,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,30-Dec-2021 04:34 PM,finsummary_33515.pdf (162.33 KB),Technical,Technical bids has been opened,PALLAVI CHAKRAVORTY,04-Sep-2021 05:43 PM,,31-Dec-2021,INR 15352928.55,360.0,PALLAVI CHAKRAVORTY,07-Mar-2022 01:10 PM,Workorder_Rds_Chenga_B_05.pdf (88.00 KB),Finance,Financial Bids has been opened,PALLAVI CHAKRAVORTY,22-Nov-2021 06:27 PM,,BOQ Comparative Chart,1.0,122268.0,Nayanjyoti Talukdar,INR,15352929.0,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,20-Nov-2021 05:28 PM,22-Nov-2021 02:30 PM,techsummary_33515.pdf (169.86 KB),AOC,Public Works Roads Department,CE/APART/39/2021/7,2021_PWD_21490_5,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,"3,90,700",No,fixed,,"The Chief Engineer, PWRD (EAP), Assam",GUWAHATI,"5,000","State Project Director, ARIAS Society",GUWAHATI,No,1.0,Corrigendum 14,Date,,1.0,Fee/PreQual/Technical,.pdf,EMD,26-Feb-2021 01:15 PM,04-Sep-2021 02:30 PM,26-Feb-2021 01:30 PM,04-Sep-2021 02:00 PM,26-Feb-2021 01:45 PM ,12-Mar-2021 11:00 AM ,26-Feb-2021 01:45 PM,04-Sep-2021 02:00 PM,22-Nov-2021 02:30 PM,APART/NOCP/ROADS/B-05(Chenga Road),"Construction of road from Chenga Daulashal PWD Road(in front of Mahendra Talukdar House) to Chenga - Sarthebari Road via Chenga of Chenga Village, Chenga Mouza Barpeta District(Length 1.605KM)",Please refer Tender documents. ,NA ,"1,95,35,000",Civil Works – Roads,NA ,Tender,90.0,360.0,Barpeta District,781305.0,"O/o The Chief Engineer, PWRD (EAP), Assam ","O/o The Chief Engineer, PWRD (EAP), Assam Fatasil Ambari, Guwahati-781025 ",12-Mar-2021 11:00 AM ,"O/o The Chief Engineer, PWRD (EAP), Assam",No ,No,1.0,BG - Bank Guarantee Irrevocable,"Chief Engineer, PWRD (EAP), Assam","O/o The Chief Engineer, PWRD (EAP), Assam",AOC
,,,,2,121321,Jagadish Choudhury,03-Sep-2021 11:43 AM,Rejected-Finance,Rejected as L6,30-Dec-2021 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,AOC
,,,,3,122279,KANAKESH DAS,04-Sep-2021 11:38 AM,Rejected-Finance,Rejected as L3,30-Dec-2021 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,122237,MAINUL HAQUE CHOUDHURY,03-Sep-2021 07:49 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,122265,M/S. S. S. ENGINEERS,04-Sep-2021 12:49 AM,Rejected-Finance,Rejected as L5,30-Dec-2021 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,119884,Mun doley,22-Jul-2021 09:21 AM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not submitted,04-Sep-2021 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,122288,NAVA KT TALUKDAR,04-Sep-2021 12:19 PM,Rejected-Finance,Rejected as L7,30-Dec-2021 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,122268,Nayanjyoti Talukdar,04-Sep-2021 09:19 AM,Accepted-AOC,Awarded Contract Bidder,07-Mar-2022 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,122271,North East Contractors Pvt. Ltd.,04-Sep-2021 10:48 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,122224,Sofiqul Islam,03-Sep-2021 06:48 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,20-Nov-2021 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
