Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Technical,Tech bid opened,SHASHI PAL,07-Feb-2022 12:39 PM,technical_82593.pdf,1.0,254747.0,Ashok Kumar,11-Jan-2022 12:13 PM,Rejected-Finance,Not L-1,10-Feb-2022,Finance,Fin bid opened,SHASHI PAL,10-Feb-2022 03:15 PM,finance_82593.pdf,BOQ Comparative Chart,1.0,254549.0,Kuldeep Kumar,INR,"1,301,327",22-Mar-2022,"INR 1,301,327",90.0,Dev Raj,04-Apr-2023 06:06 PM,2.pdf (1719.00 KB),Award,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,10-Feb-2022 03:23 PM,finsummary_82593.pdf (620.88 KB),Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,07-Feb-2022 12:41 PM,08-Feb-2022 10:30 AM,techsummary_82593.pdf (704.88 KB),PWD,2021_PWD_55087_1,No.BGN/2020-21-10494-525 dated 20.12.2021Job5,C/O link road Saily to Handola via Kamoon Patian Km 0/000 to 11/120,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),1.0,ICICI BANK,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,PWD,No.BGN/2020-21-10494-525 dated 20.12.2021Job5,2021_PWD_55087_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"21,000",Yes,fixed,,Nil,Nil,C/O link road Saily to Handola via Kamoon Patian Km 0/000 to 11/120,"P/L GSB, WMM and M/T in Km 9/413 to 10/120",Please refer Tender documents. ,NA ,"10,47,146",Civil Works - Roads,NA ,Tender,120.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,500.0,Nil,Nil,No,29-Dec-2021 11:00 AM,12-Jan-2022 11:00 AM,29-Dec-2021 11:30 AM,11-Jan-2022 06:00 PM,NA ,NA ,29-Dec-2021 11:30 AM,11-Jan-2022 06:00 PM,08-Feb-2022 10:30 AM
,,,,,2.0,254969.0,Balbir Singh Govt Contractor,11-Jan-2022 01:45 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,254230.0,Chander Kumar,11-Jan-2022 05:14 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,254549.0,Kuldeep Kumar,10-Jan-2022 07:41 PM,Accepted-AOC,L1,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.0,254750.0,Lalit Kumar Govt Contractor,11-Jan-2022 12:26 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without Liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.0,255020.0,Maynak Sharma,11-Jan-2022 05:18 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.0,254649.0,Nitish Thakur,11-Jan-2022 03:22 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.0,254414.0,Ramesh Chand Sharma,11-Jan-2022 02:39 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9.0,254740.0,R.D. DUVEDI,11-Jan-2022 01:30 PM,Rejected-Finance,Not L-1,10-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
