S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Superintending Engineer,"Superintending Engineer, 7th Circle, HPPWD Dalhousie",09-Dec-2021 12:00 PM,23-Dec-2021 11:30 AM,09-Dec-2021 12:00 PM,23-Dec-2021 11:00 AM,NA ,NA ,09-Dec-2021 12:00 PM,23-Dec-2021 11:00 AM,06-Jan-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,"5,000",Nil,Nil,No,"22,60,000",No,fixed,,Nil,Nil,PWD,SE Dalhousie Letter No. 9299-9318 dated 02-12-2021,2021_PWD_54501_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road from Kandi to Mindra road Km. 0/0 to 6/215 under NABARD (RIDF-XXVII),"Formation cutting, passing place, retaining walls, cross drainage work, GSB,WBM-II,III, tarring work, side drain, parapets and road furniture etc. Including routing maintenance for five year",Please refer Tender documents. ,NA ,"11,30,75,089",Civil Works,NA ,Tender,75.0,730.0,Bharmour,176315.0,NA ,NA ,NA ,Superintending Engineer 7th Circle HPPWD Dalhousie,No ,No,1.0,Change of Bid Security,Other,,AOC,PWD,2021_PWD_54501_1,SE Dalhousie Letter No. 9299-9318 dated 02-12-2021,Construction of link road from Kandi to Mindra road Km. 0/0 to 6/215 under NABARD (RIDF-XXVII),Superintending Engineer,Internal,Dealing Assistant (C and C) Superintendent G-II (W) Engineer Officer Executive Engineer (D) Executive Engineer Bharmour,Deepak Mahajan,01-Jan-2022 05:22 PM,06-Jan-2022 11:30 AM,techsummary_81616.pdf (5216.53 KB),Superintendenting Engineer,Internal,Dealing Assistant (C and C) Superintendent (W) EO Executive Engineer (D),Deepak Mahajan,22-Mar-2022 12:13 PM,finsummary_81616.pdf (52.87 KB),22-Mar-2022,"INR 109,274,493",730.0,Deepak Mahajan,22-Mar-2022 12:20 PM,AL.pdf (80.00 KB),Award Letter,1.0,251409.0,Dinesh Kumar Sharma Const. (P) Ltd,22-Dec-2021 10:02 AM,Rejected-Finance,3rd Lowest,22-Mar-2022 12:13 PM,Technical,Technical Bid Opening Summary,Deepak Mahajan,31-Dec-2021 01:30 PM,technical_81616.pdf,Finance,Finance bid opening summary,Deepak Mahajan,07-Jan-2022 11:44 AM,finance_81616.pdf,BOQ Comparative Chart,1.0,251918.0,MCC POWER PROJECTS PVT. LTD.,INR,"97,031,956",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. online payment receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,251918.0,MCC POWER PROJECTS PVT. LTD.,23-Dec-2021 10:30 AM,Accepted-AOC,Work awarded,22-Mar-2022 12:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. online payment receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,248764.0,Vijay Kumar Contractor,23-Dec-2021 10:58 AM,Rejected-Finance,2nd Lowest,22-Mar-2022 12:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g) and Cl 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
