S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",350.0,Nil,Nil,No,"20,000",No,fixed,,Nil,Nil,PWD,SD-III-CB-Tender/2022-25882-97 dated 21-01-2022,2022_PWD_56244_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Jan-2022 06:00 PM,07-Feb-2022 11:30 AM,29-Jan-2022 06:00 PM,07-Feb-2022 11:00 AM,NA ,NA ,29-Jan-2022 06:00 PM,07-Feb-2022 11:00 AM,15-Feb-2022 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"S/R to Medicine building at IGMC Shimla(SH- Renovation of toilet in female Ortho ward at block-D, toilet in medicine unit 1 to 4 at block-D and toilet in plumnary medicine block-D","S/R to Medicine building at IGMC Shimla(SH- Renovation of toilet in female Ortho ward at block-D, toilet in medicine unit 1 to 4 at block-D and toilet in plumnary medicine block-D",As per SBD ,NA ,"9,99,865",Civil Works - Buildings,NA ,Tender,75.0,60.0,Near IGMC,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,AOC,1.0,261448.0,bharat singh,06-Feb-2022 02:44 PM,Accepted-AOC,OK,28-Mar-2022 10:54 AM,Technical,Technical evaluation Summary,Parveen Kumar Verma,15-Feb-2022 12:44 PM,technical_84547.pdf,Finance,BOS,Parveen Kumar Verma,19-Feb-2022 05:19 PM,finance_84547.pdf,BOQ Comparative Chart,1.0,261448.0,bharat singh,INR,"932,606",PWD,2022_PWD_56244_1,SD-III-CB-Tender/2022-25882-97 dated 21-01-2022,"S/R to Medicine building at IGMC Shimla(SH- Renovation of toilet in female Ortho ward at block-D, toilet in medicine unit 1 to 4 at block-D and toilet in plumnary medicine block-D",ExecutiveEngineershimladivisionNoIIIHPPWDshimla,Internal,Harnam SinghSr. AssistantR.SThakursupdt.division No.IIIPadam SharmaHDMdivision No.-III,Parveen Kumar Verma,15-Feb-2022 12:48 PM,15-Feb-2022 01:00 PM,techsummary_84547.pdf (702.14 KB),EEdivsionNo.IIIHPPWD,Internal,"HarnamsinghsrAstt.,RamswaroopthakurSupdt.,PAdamSharmaDHD",Parveen Kumar Verma,19-Feb-2022 05:36 PM,finsummary_84547.pdf (366.81 KB),06-Mar-2022,"INR 999,895",60.0,Parveen Kumar Verma,28-Mar-2022 10:54 AM,56244_1.pdf (482.00 KB),AOC,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,AOC,2.0,261329.0,DOBHAL CONSTRUCTION,05-Feb-2022 05:19 PM,Rejected-Technical,reject,15-Feb-2022 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,AOC,3.0,261294.0,Kaku Ram,05-Feb-2022 03:31 PM,Rejected-Finance,Reject,19-Feb-2022 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,AOC,4.0,261382.0,Shreeji & Company,06-Feb-2022 10:19 PM,Rejected-Technical,reject,15-Feb-2022 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
