Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
16-Mar-2022,"INR 7,335,676",180.0,Sarthak Kumar,11-Oct-2023 05:08 PM,22852.pdf (473.00 KB),AOC,Er.B.M Thakur,Internal,"Tender Asstt, Supdt, HDM, Sr. DAO. AE to EE, Assistant Engineer Palampur",Manoj Sood,24-Jan-2022 03:06 PM,finsummary_83133.pdf (559.03 KB),Er.B.M Thakur,Internal,"Tender Assistant, Superintendent Gr-II, HDM, Sr. D.A.O, Assistant Engineer Palampur, AE to EE",Manoj Sood,21-Jan-2022 03:17 PM,21-Jan-2022 04:30 PM,techsummary_83133.pdf (1707.52 KB),PWD,2022_PWD_55415_1,NIT No. 16020-50 and Corrizendum No.16240-90,Construction of link road from Chandpur to Kulani Km 0/00 to 4/00 (SW- Construction of Speru Side Approaches of 40.00 mtrs. Span bridge over Awa Khad at Kulani),Technical,Technical Evaluation Summary,Manoj Sood,21-Jan-2022 03:12 PM,technical_83133.pdf,1.0,254882.0,Gopal Singh Thakur,10-Jan-2022 05:21 PM,Rejected-Finance,Bidder is found L2,24-Jan-2022,1.0,254825.0,Navneet Singh Rathore,INR,"12,619,519",Finance,Financial bid opening summary,Manoj Sood,24-Jan-2022 03:02 PM,finance_83133.pdf,BOQ Comparative Chart,PWD,NIT No. 16020-50 and Corrizendum No.16240-90,2022_PWD_55415_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,05,900",No,fixed,,Nil,Nil,06-Jan-2022 09:00 AM,11-Jan-2022 11:30 AM,06-Jan-2022 09:00 AM,11-Jan-2022 11:00 AM,NA ,NA ,06-Jan-2022 09:00 AM,11-Jan-2022 11:00 AM,21-Jan-2022 04:30 PM,Executive Engineer,Palampur Division HPPWD Palampur,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,Construction of link road from Chandpur to Kulani Km 0/00 to 4/00 (SW- Construction of Speru Side Approaches of 40.00 mtrs. Span bridge over Awa Khad at Kulani),Construction of link road from Chandpur to Kulani Km 0/00 to 4/00 (SW- Construction of Speru Side Approaches of 40.00 mtrs. Span bridge over Awa Khad at Kulani),Please refer Tender documents. ,NA ,"73,35,676",Civil Works - Roads,NA ,Rate Contract,120.0,180.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,1.0,ICICI BANK,"2,000",Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,254825.0,Navneet Singh Rathore,10-Jan-2022 04:43 PM,Accepted-AOC,AOC,11-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,254960.0,SUNIL DUTT SHARMA,11-Jan-2022 10:27 AM,Rejected-Technical,Non-Responsive,21-Jan-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,
