S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,205905.0,R.G. INDUSTRIES,INR,"338,140,479",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_44245_1,JSV-CE-PMU-MND-Tender-2014-63 dated 10.02.2021,"Package-D3 Engineering, procurement, construction, testing, commissioning, trial run and operation and maintenance of various components of Parour Multi villages group piped water supply scheme for Part of Bhawarna Bhedu Mahadev Block (Sullah)",ENC P JSV Mandi,Internal,CE PMU CE DZ SE ENC P SE Dharamshala EE ENC P EE PMU EE Division Thural Dy Controller,Suresh Mahajan,22-Mar-2022 04:34 PM,finsummary_66279.pdf (2821.65 KB),22-Mar-2022,"INR 378,629,539",730.0,Suresh Mahajan,22-Mar-2022 04:36 PM,awardletterD3.pdf (998.00 KB),Award Leter,Finance,BOQ downloaded successfully summary attached,Anil Kumar,22-Mar-2022 01:33 PM,finance_66279.pdf,BOQ Comparative Chart,Technical,Technical Proceeding,Pardeep Kumar Sharma,05-Jun-2021 12:16 PM,technical_66279.pdf,N M Saini EnC P Mandi,Internal,CE PMU CE DZ SE Dharamshala SE PMU EE D PMU EE JSD Thural Deputy Controller PMU,Pardeep Kumar Sharma,05-Jun-2021 12:21 PM,07-Jun-2021 11:00 AM,techsummary_66279.pdf (8571.20 KB),1.0,204949.0,Kashmirilal Constructions Pvt. Ltd.,26-Mar-2021 11:50 AM,Rejected-Finance,L3,22-Mar-2022 04:34 PM,AOC,"Package-D3 Engineering, procurement, construction, testing, commissioning, trial run and operation and maintenance of various components of Parour Multi villages group piped water supply scheme for Part of Bhawarna Bhedu Mahadev Block (Sullah)","Package-D3 Engineering, procurement, construction, testing, commissioning, trial run and operation and maintenance of various components of Parour Multi villages group piped water supply scheme for Part of Bhawarna Bhedu Mahadev Block (Sullah)",Please refer Tender documents. ,NA ,"27,96,48,797",Civil Works - Water Works,NA ,Tender,180.0,730.0,Parour and Gharoon,176107.0,Mandi ,Engineer-in-chief Project JSV Mandi ,23-Feb-2021 11:00 AM ,Mandi,No ,No,1.0,ICICI NEFT/RTGS,"2,500",Nil,Nil,No,1.0,Corrigendum,Date,,10-Feb-2021 05:00 PM,26-Mar-2021 03:00 PM,10-Feb-2021 05:00 PM,26-Mar-2021 02:30 PM,NA ,NA ,10-Feb-2021 05:00 PM,26-Mar-2021 02:30 PM,07-Jun-2021 11:00 AM,Project Director cum Chief Engineer PMU JSV Mandi,Project Director cum Chief Engineer PMU JSV Mandi,"27,96,000",No,fixed,,Nil,Nil,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,JSV-CE-PMU-MND-Tender-2014-63 dated 10.02.2021,2021_HPIPH_44245_1,Yes,Global Tenders,Lump-sum,Works,3.0,No,No,Online,No,No,No,1.0,Fee,.pdf,Scanned copy of bid security and cost of bid form as per NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,205905.0,R.G. INDUSTRIES,26-Mar-2021 02:08 PM,Accepted-AOC,Accept,22-Mar-2022 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state /Govt. of India dep,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,206045.0,SIAN INFRA AND REALCON LLP,26-Mar-2021 12:06 PM,Rejected-Finance,L2,22-Mar-2022 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of three years as per NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria as per NIT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture is allowed. Copy of Joint venture agreement entered into by the partners duly regis,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN Permanent Account No. GST registration and EPF registration The International,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized b,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking as per Chapter IV of Form12 that I have carefully studied all the t,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other conditions as per NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make/ model of the proposed pumping machinery alongwith the characteristic curves.,AOC
