Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,000",Directorate of Agriculture,Guwahati,No,Construction of Knowledge Centre with Training Hall under RIDF-XXV at Goalpara Agia,Construction of Knowledge Centre with Training Hall under RIDF-XXV at Goalpara Agia,Please refer Tender documents. ,NA ,"1,03,16,485",Construction Works,NA ,Tender,90.0,NA ,Goalpara,781022.0,"Conference Hall of Chief Engineer, Agriculture ","Conference Hall of Chief Engineer, Agriculture, Assam, Khanapara, Ghy-22 ",27-Oct-2021 01:00 PM ,"Director of Agriculture Khanapara, Guwahati-22",No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents Part-1,"2,06,330",Yes,percentage,2.0%,Directorate of Agriculture,Guwahati,O/o Director of Agriculture Ghy-22,"Directorate of Agriculture Assam Khanapara, Guwahati-22",1.0,Corrigendum,Other,,1.0,BG - Bank Guarantee Irrevocable,19-Oct-2021 04:00 PM,11-Nov-2021 03:00 PM,19-Oct-2021 04:00 PM,10-Nov-2021 01:00 PM,NA ,NA ,30-Oct-2021 03:30 PM,10-Nov-2021 01:00 PM,31-Dec-2021 01:00 PM,Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4210 /RIDF-XXV/KC/ BID/2021-22/106,2021_DAASC_23168_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,125873.0,Uttam Kumar Sarkar,INR,8798930.0,Technical,Technical cover is opened and processed for evaluation,NEELAKSHI BAITHURI,24-Nov-2021 01:33 PM,,Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23168_19,AGRI/ENGG/4210 /RIDF-XXV/KC/ BID/2021-22/106,Construction of Knowledge Centre with Training Hall under RIDF-XXV at Goalpara Agia,1,125759,ATIKUL HAQUE,09-Nov-2021 02:04 PM,Rejected-Technical,As per minutes,30-Dec-2021 12:11 PM,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIAS etc.",NEELAKSHI BAITHURI,30-Dec-2021 12:11 PM,31-Dec-2021 01:00 PM,techsummary_35633.pdf (6047.74 KB),15-Mar-2022,INR 8798930.0,180.0,NEELAKSHI BAITHURI,30-Mar-2022 01:21 PM,Agia.pdf (331.00 KB),As per lowest quoted rate,DoA,Internal,"DoH, Sr.FAO, Md-Seeds, PME-ARIAS etc.",NEELAKSHI BAITHURI,20-Jan-2022 04:18 PM,finsummary_35633.pdf (3837.26 KB),Finance,Financial cover is opened and processed for evaluation,NEELAKSHI BAITHURI,31-Dec-2021 01:17 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents Part-2,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,125854,Bikramjeet Ghosh,10-Nov-2021 01:26 AM,Rejected-AOC,Not Qualified,30-Mar-2022 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3,125738,Bishnu Prasad Das,08-Nov-2021 09:43 PM,Rejected-Technical,As per minutes,30-Dec-2021 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,4,125824,Gaji Ram Das,09-Nov-2021 08:17 PM,Rejected-Technical,As per minutes,30-Dec-2021 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid / Section 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,5,125773,Hiya Construction,09-Nov-2021 04:50 PM,Rejected-Technical,As per minutes,30-Dec-2021 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,6,125729,MRINAL ADHIKARY,08-Nov-2021 09:00 PM,Rejected-AOC,Not Qualified,30-Mar-2022 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,7,125893,M/S J.K ENTERPRISE,10-Nov-2021 12:20 PM,Rejected-Technical,As per minutes,30-Dec-2021 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,8,125877,Purandar Rabha,10-Nov-2021 11:10 AM,Rejected-Technical,As per minutes,30-Dec-2021 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,9,125796,Rajib Ahmed,10-Nov-2021 12:04 PM,Rejected-AOC,Not Qualified,30-Mar-2022 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,10,125756,Sri Krishna Prasad Sing,09-Nov-2021 07:40 PM,Rejected-AOC,Not Qualified,30-Mar-2022 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
