Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 13874-944 dt 03-01-2022,2022_HPIPH_55314_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,04-Jan-2022 09:00 AM,10-Jan-2022 11:30 AM,04-Jan-2022 09:00 AM,10-Jan-2022 11:00 AM,NA ,NA ,04-Jan-2022 09:00 AM,10-Jan-2022 11:00 AM,18-Jan-2022 03:00 PM,"18,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Providing LWSS to SC Basti Bharsrath Rahiya and Kiyar in GP Koti Dhiman Tehsil Dadahu Distt. Sirmour,"C/O pump house cum attendant Qtr, Kitchan and Toilet) under SCSP.",Please refer Tender documents. ,NA ,"8,78,396",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned in NIT,1.0,ICICI BANK,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,AOC,23-Mar-2022,"INR 878,396",90.0,Ashish Rana,23-Mar-2022 04:45 PM,AOC.pdf (639.00 KB),Award to Contractor,Technical,Technical Bid Opening Summary,Ashish Rana,18-Jan-2022 01:30 PM,technical_82951.pdf,Finance,Financial Summary,Ashish Rana,19-Jan-2022 04:23 PM,finance_82951.pdf,BOQ Comparative Chart,1.0,254726.0,BHEEM SINGH,10-Jan-2022 10:22 AM,Rejected-Finance,Reject,23-Mar-2022 04:44 PM,Er. Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,18-Jan-2022 02:50 PM,18-Jan-2022 03:00 PM,techsummary_82951.pdf (318.25 KB),ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,23-Mar-2022 04:44 PM,finsummary_82951.pdf (345.12 KB),1.0,254552.0,Surender Singh,INR,"545,601","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_55314_6,NHN-SMROO-722- 13874-944 dt 03-01-2022,Providing LWSS to SC Basti Bharsrath Rahiya and Kiyar in GP Koti Dhiman Tehsil Dadahu Distt. Sirmour,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,2.0,254691.0,HARI SINGH,09-Jan-2022 06:55 PM,Rejected-Finance,Reject,23-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,254714.0,KULDEEP SHARMA,09-Jan-2022 10:20 PM,Rejected-Finance,Reject,23-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,254705.0,OM PARKASH SHARMA,09-Jan-2022 09:11 PM,Rejected-Finance,Reject,23-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,AOC,,,,,,,,,,,,,,,,,,,5.0,254552.0,Surender Singh,08-Jan-2022 02:03 PM,Accepted-AOC,AOC,23-Mar-2022 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully all terms and condition as mentioned in NIT,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
