Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"CGM(RE), APDCL","Bijulee Bhawan (Annex. Building, Paltan Bazar, Ghy 5",Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL,APDCL/DDU-New/NRE/Pkg-3,2021_APDCL_22873_1,Yes,Open Tender,Turn-key,Works,4.0,No,No,Online,No,No,No,1.0,Techno_Commercial_Bid_Part_1,.rar,Techno_Commercial_Bid_Part_1,11-Sep-2021 03:00 PM,23-Oct-2021 11:00 AM,11-Sep-2021 03:00 PM,21-Oct-2021 03:00 PM,NA ,NA ,20-Sep-2021 03:00 PM,21-Oct-2021 03:00 PM,06-Nov-2021 10:30 AM,"20,000",Nil,Nil,Yes,"25,00,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Off Grid rural electrification works in district of Assam under APDCL/DDU-New/NRE/Pkg-3,Off Grid rural electrification works in district of Assam through standalone Solar PV System on turnkey mode under DDUGJY New Scheme for APDCL/DDU-New/NRE/Pkg-3,Please refer Tender documents. ,NA ,"20,44,50,000",Electrical Works,NA ,Tender,180.0,60.0,Sonitpur Dhemaji Lakhimpur Darrang,784001.0,"O/o the CGM (RE), APDCL, Bijulee Bhawan ","Bijulee Bhawan (Annex. Building, Paltan Bazar, Ghy 5  ",16-Sep-2021 12:00 PM ,"O/o the CGM (RE), APDCL, Bijulee Bhawan",No ,No,1.0,Extension_1,Date,,AOC,25-Mar-2022,INR 1.84005E+8,60.0,Muktanjan Borah,24-Mar-2022 12:18 PM,NE.pdf (2678.00 KB),Finance,All bids are admitted.,Muktanjan Borah,24-Mar-2022 12:00 PM,,BOQ Comparative Chart,Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL,2021_APDCL_22873_1,APDCL/DDU-New/NRE/Pkg-3,Off Grid rural electrification works in district of Assam under APDCL/DDU-New/NRE/Pkg-3,1.0,125059.0,NORTH EAST AGENCY PVT LTD,INR,184005000.0,"CGM (RE), APDCL",Internal,,Muktanjan Borah,24-Mar-2022 12:10 PM,finsummary_35252.pdf (3496.51 KB),1,125076,B.T.ENTERPRISE,21-Oct-2021 12:41 PM,Rejected-Technical,Non-Responsive,02-Nov-2021 07:31 PM,Technical,All Bids are admitted.,Muktanjan Borah,30-Oct-2021 06:18 PM,,"CGM (RE), APDCL",Internal,Tender Purchase Committee(TPC-1) of APDCL,Khungri Brahma,02-Nov-2021 07:31 PM,06-Nov-2021 10:30 AM,techsummary_35252.pdf (402.57 KB),AOC
,,,,,,,,,,,,,,,,2.0,Techno_Commercial_Bid_Part_2,.rar,Techno_Commercial_Bid_Part_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum-2,Financial Bid,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,125045,Dhanashree Electronics Limited,21-Oct-2021 02:48 PM,Rejected-Technical,Non-Responsive,02-Nov-2021 07:31 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,Techno_Commercial_Bid_Part_3,.rar,Techno_Commercial_Bid_Part_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum-2,Technical Bid,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124530,Espan Infrastructure I Limited,21-Oct-2021 11:12 AM,Rejected-AOC,Non MSME,24-Mar-2022 12:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,123463,GANESH ELECTRICALS PRIVATE LIMITED,20-Oct-2021 06:52 PM,Rejected-AOC,Non MSME,24-Mar-2022 12:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,123782,Genii Engineering And Services Private Limited,21-Oct-2021 02:03 PM,Rejected-AOC,Non MSME,24-Mar-2022 12:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,123493,Madnani Engineerings Works,20-Oct-2021 05:40 PM,Rejected-AOC,L3 and Non MSME,24-Mar-2022 12:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,125059,NORTH EAST AGENCY PVT LTD,21-Oct-2021 09:52 AM,Accepted-AOC,L1 and MSME,24-Mar-2022 12:18 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,125111,PHOENIX INFRA,21-Oct-2021 02:37 PM,Rejected-Technical,Non-Responsive,02-Nov-2021 07:31 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,125055,PRABHA NEXTERA ENERGY PRIVATE LIMITED,21-Oct-2021 10:52 AM,Rejected-Technical,Non-Responsive,02-Nov-2021 07:31 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,123510,PV POWER TECHNOLOGIES PVT LTD,21-Oct-2021 01:44 PM,Rejected-AOC,Non MSME,24-Mar-2022 12:18 PM,,,,,,,,,,,,,AOC
