Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Tech bid opened,SHASHI PAL,26-Oct-2021 11:59 AM,technical_79219.pdf,1.0,241003.0,Ramesh Chand Sharma,23-Oct-2021 03:25 PM,Accepted-AOC,Lowest,05-Mar-2022 04:39 PM,1.0,241003.0,Ramesh Chand Sharma,INR,"21,884,599",Finance,Fin bid opened,SHASHI PAL,27-Oct-2021 03:44 PM,None,BOQ Comparative Chart,14-Mar-2022,"INR 21,884,599",365.0,SHASHI PAL,05-Mar-2022 04:39 PM,AOCBihruKalan.pdf (1158.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,27-Oct-2021 03:50 PM,finsummary_79219.pdf (455.46 KB),Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,26-Oct-2021 12:02 PM,27-Oct-2021 10:30 AM,techsummary_79219.pdf (512.90 KB),PWD,2021_PWD_52964_1,No.BGN/2020-21-7338-70 dated 28.09.2021Job1,Construction of Sub Tehsil Building at Bihru Kalan Tehsil Bangana Distt. Una ( H.P.),AOC,"2,54,000",Yes,fixed,,Nil,Nil,12-Oct-2021 11:00 AM,25-Oct-2021 11:00 AM,12-Oct-2021 11:30 AM,23-Oct-2021 06:00 PM,NA ,NA ,12-Oct-2021 11:30 AM,23-Oct-2021 06:00 PM,27-Oct-2021 10:30 AM,Construction of Sub Tehsil Building at Bihru Kalan Tehsil Bangana Distt. Una ( H.P.),"C/O Building Portion , Water Supply and Sanitary installation , Rain water Water Harvesting Tank , Septic Tank and Site development including Boundary Wall and C.C. Paver Blocks in Parking",Please refer Tender documents. ,NA ,"2,20,91,698",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,ICICI BANK,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),PWD,No.BGN/2020-21-7338-70 dated 28.09.2021Job1,2021_PWD_52964_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,AOC
,,,,,2.0,240896.0,SUPER CONSTRUCTION,23-Oct-2021 11:59 AM,Rejected-AOC,Higher side,05-Mar-2022 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without Liquidat,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,AOC
