Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",Kasumpti/Shimla/Catch the rain 9.48,2021_HPIPH_53459_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,C/O. Rain water harvesting structure head weir in G.P. Baggi under JSV section Jubberhatti Tehsil Distt Shimla HP under Catch the Rain (SH C/O Head weir for LIS Shilli Baggi) Chanan Nallah,.,Please refer Tender documents. ,NA ,"9,48,158",Civil Works - Water Works,NA ,Rate Contract,120.0,180.0,SHIMLA,171009.0,NA ,NA ,NA ,Kasumpti,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per NIT,Executive Engineer,Jal Shakti Division No-I Kasumpati Shimla-9,12-Nov-2021 05:00 PM,20-Nov-2021 11:30 AM,12-Nov-2021 05:00 PM,19-Nov-2021 05:00 PM,NA ,NA ,12-Nov-2021 05:00 PM,19-Nov-2021 05:00 PM,26-Nov-2021 05:55 PM,250.0,EE Jal Shakti Division No-I,Kasumpti Shimla,No,1.0,ICICI BANK,"18,970",Yes,fixed,,EE Jal Shakti Division No-I,Kasumpti Shimla,AOC,EE,Internal,,Rajneesh Onkar,26-Nov-2021 05:51 PM,26-Nov-2021 05:55 PM,techsummary_80009.pdf (369.35 KB),1,243300,Ashok Kumar Thakur,19-Nov-2021 01:14 PM,Rejected-Finance,L8,15-Mar-2022 04:44 PM,Finance,financial bid,Rajneesh Onkar,29-Nov-2021 05:32 PM,finance_80009.pdf,BOQ Comparative Chart,Technical,Technical bid summary,Rajneesh Onkar,22-Nov-2021 12:38 PM,technical_80009.pdf,15-Mar-2022,"INR 948,158",180.0,Rajneesh Onkar,15-Mar-2022 04:45 PM,AOC_Thapa.pdf (365.00 KB),EE,Internal,,Rajneesh Onkar,15-Mar-2022 04:44 PM,finsummary_80009.pdf (364.56 KB),"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",2021_HPIPH_53459_1,Kasumpti/Shimla/Catch the rain 9.48,C/O. Rain water harvesting structure head weir in G.P. Baggi under JSV section Jubberhatti Tehsil Distt Shimla HP under Catch the Rain (SH C/O Head weir for LIS Shilli Baggi) Chanan Nallah,1.0,243164.0,P B Thapa,INR,"698,795",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,cost of tender as per NIT,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,2,243176,GULAM MOHIDEEN MIR,18-Nov-2021 03:45 PM,Rejected-Finance,L2,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,242968,Kuldeep Kumar Thakur,17-Nov-2021 02:53 PM,Rejected-Finance,L5,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card and GSTIN No as per NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,243343,Mahender Sharma,19-Nov-2021 03:51 PM,Rejected-Finance,L10,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,242487,Parmod Kumar Thakur,14-Nov-2021 04:51 PM,Rejected-Finance,L7,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,243164,P B Thapa,18-Nov-2021 02:59 PM,Accepted-AOC,L1,15-Mar-2022 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,243312,Rajesh Kumar,19-Nov-2021 04:18 PM,Rejected-Finance,L9,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,243128,Rajesh Thakur,18-Nov-2021 12:28 PM,Rejected-Finance,L6,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,243348,Suresh Kumar Sharma,19-Nov-2021 02:57 PM,Rejected-Finance,L3,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,243194,Vinod Thakur,18-Nov-2021 04:54 PM,Rejected-Finance,L4,15-Mar-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
