Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),PWD,No.BGN/2020-21-6009-6052 dated 02.09.2021Job5,2021_PWD_51966_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"16,000",Yes,fixed,,Nil,Nil,C/o Link road to Village Bhalola Km 0/0 to 2/000,"P/L GSB, WMM and 25mm thick Bituminous Concrete in Km 0/00 to 0/360 and 0/448 to 0/600",Please refer Tender documents. ,NA ,"7,96,604",Civil Works - Others,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,08-Sep-2021 11:00 AM,22-Sep-2021 11:00 AM,08-Sep-2021 11:30 AM,21-Sep-2021 06:00 PM,NA ,NA ,08-Sep-2021 11:30 AM,21-Sep-2021 06:00 PM,24-Sep-2021 10:30 AM,1.0,ICICI BANK,AOC,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,23-Sep-2021 05:44 PM,24-Sep-2021 10:30 AM,techsummary_77664.pdf (445.61 KB),PWD,2021_PWD_51966_1,No.BGN/2020-21-6009-6052 dated 02.09.2021Job5,C/o Link road to Village Bhalola Km 0/0 to 2/000,24-Feb-2022,"INR 1,179,054",60.0,SHASHI PAL,05-Mar-2022 05:02 PM,AOCBhalola.pdf (1322.00 KB),Work awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,27-Sep-2021 01:04 PM,finsummary_77664.pdf (356.04 KB),1.0,236909.0,Balbir Singh Govt Contractor,21-Sep-2021 02:47 PM,Rejected-AOC,Higher side,05-Mar-2022 05:02 PM,Technical,Tech bid opened,SHASHI PAL,23-Sep-2021 05:42 PM,technical_77664.pdf,Finance,Fin bid opened,SHASHI PAL,27-Sep-2021 01:01 PM,finance_77664.pdf,BOQ Comparative Chart,1.0,236659.0,Maynak Sharma,INR,"1,179,054",AOC
,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236659.0,Maynak Sharma,19-Sep-2021 08:37 PM,Accepted-AOC,Lowest,05-Mar-2022 05:02 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236662.0,Sanjeev Kumar,19-Sep-2021 08:25 PM,Rejected-Technical,Non responsive,23-Sep-2021 05:44 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
