Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head Draughtsman, Jia Lal, Draughtsman",Vijay Kumar Chauhan,29-Nov-2021 02:29 PM,finsummary_79121.pdf (402.79 KB),30-Nov-2021,"INR 813,175",60.0,Ajay Gazta,12-Dec-2023 01:36 PM,Award.pdf (655.00 KB),Award letter,PWD,2021_PWD_52915_1,THD/CB-Tender/2021-6894-6908,Restortion of rain damages on Rahighat to Kiartoo road km. 0.00 to 4.500,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head D/man, Kewal Ram, Supdt. Gr-II Leela Verma, Sr. Asstt",Vijay Kumar Chauhan,23-Oct-2021 02:55 PM,06-Nov-2021 11:00 AM,techsummary_79121.pdf (725.29 KB),Technical,Bid Opening summary,Vijay Kumar Chauhan,21-Oct-2021 09:37 AM,technical_79121.pdf,1.0,240127.0,RAKESH,12-Oct-2021 01:30 PM,Accepted-AOC,Being L1,12-Dec-2023,1.0,240127.0,RAKESH,INR,"1,044,044",Finance,Financial Bid opening summary,Vijay Kumar Chauhan,09-Nov-2021 04:21 PM,finance_79121.pdf,BOQ Comparative Chart,"16,300",Yes,fixed,,Nil,Nil,07-Oct-2021 03:00 PM,18-Oct-2021 11:00 AM,07-Oct-2021 05:00 PM,16-Oct-2021 05:00 PM,NA ,NA ,07-Oct-2021 05:00 PM,16-Oct-2021 05:00 PM,06-Nov-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,PWD,THD/CB-Tender/2021-6894-6908,2021_PWD_52915_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,"Theog Division, H.P.P.W.D., Theog",350.0,Nil,Nil,No,Restortion of rain damages on Rahighat to Kiartoo road km. 0.00 to 4.500,Construction of RCC Hume pipe culvert alongwith wing walls at RD 0.030 and Construction of Retaining wall at RD 0/215 to 0/225),As per GCC ,NA ,"8,13,175",Civil Works - Roads,NA ,Tender,60.0,60.0,"Theog Tehsil Theog Distt. Shimla, HP",171201.0,NA ,NA ,NA ,Theog Division,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,240650.0,Sunil Hetta,16-Oct-2021 04:44 PM,Rejected-Finance,Being higher rates,29-Nov-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
