Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,07-Oct-2021 12:52 PM,finsummary_78394.pdf (30.39 KB),HP SIDC Limited,2021_SIDC_52461_1,Job No. 3,Construction of Veterinary Hospital at Jahu Distt. Hamirpur (HP).,03-Nov-2021,"INR 5,512,675",240.0,Sushant Singh Negi,16-Nov-2021 12:27 PM,jahukhubram.pdf (1485.00 KB),Award letter,1.0,238311.0,KHUB RAM,INR,"5,512,675",Technical,Technical summary,Sushant Singh Negi,05-Oct-2021 10:41 AM,technical_78394.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,05-Oct-2021 10:44 AM,05-Oct-2021 11:00 AM,techsummary_78394.pdf (415.57 KB),1.0,238311.0,KHUB RAM,27-Sep-2021 03:58 PM,Accepted-AOC,AOC,16-Nov-2021 12:27 PM,Finance,Financial summary,Sushant Singh Negi,07-Oct-2021 12:49 PM,finance_78394.pdf,BOQ Comparative Chart,AOC,HP SIDC Limited,Job No. 3,2021_SIDC_52461_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,700",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Executive Engineer,HPSIDC Ltd. Shimla,Construction of Veterinary Hospital at Jahu Distt. Hamirpur (HP).,Construction of Veterinary Hospital at Jahu Distt. Hamirpur (HP).,Please refer Tender documents. ,NA ,"40,13,890",Civil Works - Buildings,NA ,Tender,120.0,240.0,Jahu (Hamirpur),176048.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,20-Sep-2021 11:00 AM,28-Sep-2021 11:00 AM,20-Sep-2021 11:00 AM,27-Sep-2021 05:00 PM,NA ,NA ,20-Sep-2021 11:00 AM,27-Sep-2021 05:00 PM,05-Oct-2021 11:00 AM,"67,700",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,237601.0,Prem Chand,26-Sep-2021 10:27 PM,Rejected-Finance,Third lowest bidder,07-Oct-2021 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,237670.0,Ramesh Chand Govt. Contractor,24-Sep-2021 06:02 PM,Rejected-Technical,Inappropriate Contractor registration class,05-Oct-2021 10:44 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,238175.0,Sanjay Kumar,27-Sep-2021 12:55 PM,Rejected-Finance,Second lowest bidder,07-Oct-2021 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,238195.0,SANJAY KUMAR GOVT CONTRACTOR,27-Sep-2021 03:18 PM,Rejected-Finance,Fourth lowest bidder,07-Oct-2021 12:52 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
