S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,235368.0,Rajender Pal,INR,"575,343.9",Finance,fbosummary,Jitender Kumar,18-Sep-2021 01:04 PM,finance_77669.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,14-Sep-2021 04:52 PM,technical_77669.pdf,1.0,235364.0,MANDEEP CONTRACTOR,13-Sep-2021 10:00 AM,Rejected-Finance,L-3,12-Nov-2021 03:26 PM,12-Nov-2021,"INR 642,737",182.0,Jitender Kumar,12-Nov-2021 03:31 PM,AOCchhahri.PDF (380.00 KB),letter No. 13748-56,Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,12-Nov-2021 03:26 PM,finsummary_77669.pdf (453.91 KB),Er. J.K. Gupta,Internal,Supdt. HDM,Jitender Kumar,15-Sep-2021 03:37 PM,17-Sep-2021 11:00 AM,techsummary_77669.pdf (838.44 KB),PWD,2021_PWD_51971_1,PW-MDI-Tender-NIT- 7572-7607 dated 21.08.2021,Construction of Health Sub-Centre Building at Chhahri Tehsil Padhar Distt. Mandi (H.P.).,AOC,350.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"12,900",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),06-Sep-2021 11:00 AM,13-Sep-2021 11:30 AM,06-Sep-2021 11:00 AM,13-Sep-2021 11:00 AM,NA ,NA ,06-Sep-2021 11:00 AM,13-Sep-2021 11:00 AM,17-Sep-2021 11:00 AM,1.0,ICICI BANK,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Construction of Health Sub-Centre Building at Chhahri Tehsil Padhar Distt. Mandi (H.P.).,Construction of approach to Health Sub-Centre Building,As per bid documents ,NA ,"6,42,737",Civil Works - Roads,NA ,Tender,90.0,182.0,Kunnu,175012.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,PWD,PW-MDI-Tender-NIT- 7572-7607 dated 21.08.2021,2021_PWD_51971_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,235368.0,Rajender Pal,11-Sep-2021 03:51 PM,Accepted-AOC,AOC,12-Nov-2021 03:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,235476.0,Sohan lal,12-Sep-2021 07:17 PM,Rejected-Finance,L-2,12-Nov-2021 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3) and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.16)Mini amount of work done shown as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"HPPWD Form No.7 / 8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
