Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
28-Nov-2021,"INR 2,996,296",60.0,Arvind Lakhanpal,28-Nov-2021 08:44 PM,PiarchandAMPKarsoh.pdf (198.00 KB),AOC,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,28-Nov-2021 08:35 PM,finsummary_78042.pdf (22.93 KB),EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,29-Sep-2021 11:40 AM,29-Sep-2021 12:30 PM,techsummary_78042.pdf (190.91 KB),PWD,2021_PWD_51945_3,No.PWD/TDD/GA-TD-,Annual Maintenance plan for the year 2021-22 on link road Lohakhar to Karsoh 0/0 to 2/690. Km. 0/0 to 2/690,Finance,summary,Arvind Lakhanpal,28-Nov-2021 08:26 PM,finance_78042.pdf,BOQ Comparative Chart,1.0,236558.0,Piar Chand Chauhan,INR,"2,701,949",Technical,prebid,Arvind Lakhanpal,22-Sep-2021 12:50 PM,None,1.0,236605.0,MANOHAR LAL GOVT CONTRACTOR,18-Sep-2021 07:12 PM,Rejected-AOC,Higher,28-Nov-2021 08:44 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Form cost,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi","1,500",Nil,Nil,No,1.0,ICICI BANK,Annual Maintenance plan for the year 2021-22 on link road Lohakhar to Karsoh 0/0 to 2/690. Km. 0/0 to 2/690,P/L 30 mm thick B.C. 2.5 mm in Km.0/0 to 2/690 HP0302VR0070,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,13-Sep-2021 01:30 PM,20-Sep-2021 11:00 AM,13-Sep-2021 01:30 PM,20-Sep-2021 11:00 AM,NA ,NA ,13-Sep-2021 01:30 PM,20-Sep-2021 11:00 AM,29-Sep-2021 12:30 PM,PWD,No.PWD/TDD/GA-TD-,2021_PWD_51945_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"53,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236607.0,MOHINDER PAL GOVT. CONTRACTOR,18-Sep-2021 07:21 PM,Rejected-AOC,Higher,28-Nov-2021 08:44 PM,AOC,,,.pdf,EMD,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236651.0,MSC Roads and Bridges Private Limited,19-Sep-2021 05:53 PM,Rejected-AOC,Higher,28-Nov-2021 08:44 PM,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,236558.0,Piar Chand Chauhan,18-Sep-2021 04:12 PM,Accepted-AOC,Lowest,28-Nov-2021 08:44 PM,AOC,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,236545.0,Praveen Thakur,18-Sep-2021 04:41 PM,Rejected-AOC,Higher,28-Nov-2021 08:44 PM,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant as Hot mix plant within radius road roller paver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
