Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Sep-2021,"INR 3,681,013",90.0,Manohar Lal Sharma,24-Nov-2021 03:22 PM,AOCSAKB.pdf (215.00 KB),AOC,Sh M L Sharma,Internal,Sh Vishal Bhardwaj A E Sh Dharam Singh H D M Sh Deepak Kumar Superintendent Gr II,Manohar Lal Sharma,04-Aug-2021 04:49 PM,finsummary_74860.pdf (283.25 KB),Sh M L Sharma,Internal,Sh Deepak Kumar Superintendent Gr II Sh Dharam Singh H D M Sh Vishal Bhardwaj A E,Manohar Lal Sharma,29-Jul-2021 05:25 PM,30-Jul-2021 11:30 AM,techsummary_74860.pdf (458.60 KB),PWD,2021_PWD_50046_1,3575-83,Annual Maintenance Plan for the year 2021-22 for Shalaghat Arki Kunihar Barotiwala road MDR 7 Km 32 300 to 70 00,Technical,Bid Summary,Manohar Lal Sharma,29-Jul-2021 05:20 PM,technical_74860.pdf,1.0,225305.0,kapoor sanjee,25-Jul-2021 05:34 PM,Rejected-Finance,Being L2,04-Aug-2021 04:49 PM,Finance,Financialsummary,Manohar Lal Sharma,04-Aug-2021 04:41 PM,finance_74860.pdf,BOQ Comparative Chart,1.0,224514.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,INR,"3,681,013",AOC,1.0,ICICI BANK,"52,100",No,fixed,,Nil,Nil,Annual Maintenance Plan for the year 2021-22 for Shalaghat Arki Kunihar Barotiwala road MDR 7 Km 32 300 to 70 00,Annual Maintenance Plan for the year 2021-22 for Shalaghat Arki Kunihar Barotiwala road MDR 7 Km 32 300 to 70 00 SH Providing and laying renewal coat by providing 30mm thick Bituminous Concrete thermoplastic edge Line in Km 34 00 to 36 00 Addition,As per tender documents ,NA ,"29,74,366",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Corigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,NIT,17-Jul-2021 06:20 PM,27-Jul-2021 11:00 AM,17-Jul-2021 06:30 PM,26-Jul-2021 04:00 PM,NA ,NA ,17-Jul-2021 06:30 PM,26-Jul-2021 04:00 PM,30-Jul-2021 11:30 AM,Executive Engineer,Executive Engineer HPPWD Division Kasauli,"1,500",Nil,Nil,No,PWD,3575-83,2021_PWD_50046_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,224514.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,21-Jul-2021 08:15 PM,Accepted-AOC,work complete,24-Nov-2021 03:22 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Work Details ,Works for which Bids submitted ,Works for which Bids submitted Details ,HP_BidsAlreadySubmitted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
