Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,"14,000",Yes,fixed,,EE Tauni Devi,Hamirpur,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",Construction of link road to village Sargoon Heera to Bar-Badar Karot road km. 0/0 to 0/650.,Construction of link road to village Sargoon Heera to Bar-Badar Karot road km. 0/0 to 0/650.(SH C/O RCC slab culvert span 5.00mtr. At RD. 0/375). (Under OTMNP Head).,Please refer Tender documents. ,NA ,"6,72,802",Civil Works,NA ,Tender,90.0,90.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,PWD,PW/TDD/NIT/21-7423-87dt.04.08.,2020_PWD_40056_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Aug-2020 06:30 PM,28-Aug-2020 11:00 AM,22-Aug-2020 06:30 PM,28-Aug-2020 10:00 AM,NA ,NA ,22-Aug-2020 06:30 PM,28-Aug-2020 10:00 AM,07-Sep-2020 10:30 AM,AOC,1.0,175453.0,Anil Chandel,27-Aug-2020 06:03 PM,Rejected-Technical,Not Admitted,05-Sep-2020 03:11 PM,Technical,summary,Arvind Lakhanpal,05-Sep-2020 02:49 PM,technical_59129.pdf,1.0,175350.0,BALAL,INR,"795,842",Finance,summary,Arvind Lakhanpal,03-Jan-2021 06:57 PM,finance_59129.pdf,BOQ Comparative Chart,PWD,2020_PWD_40056_1,PW/TDD/NIT/21-7423-87dt.04.08.,Construction of link road to village Sargoon Heera to Bar-Badar Karot road km. 0/0 to 0/650.,EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,05-Sep-2020 03:10 PM,07-Sep-2020 10:30 AM,techsummary_59129.pdf (574.46 KB),EE,Internal,supdt/Hdm/AE,Arvind Lakhanpal,03-Jan-2021 06:59 PM,finsummary_59129.pdf (202.97 KB),11-May-2021,"INR 672,802",90.0,Arvind Lakhanpal,28-Nov-2021 09:23 PM,BALALSArGoon.pdf (168.00 KB),AOC,AOC
,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,175350.0,BALAL,27-Aug-2020 03:40 PM,Accepted-AOC,L1,28-Nov-2021 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,175351.0,RAJ KUMAR,27-Aug-2020 01:51 PM,Rejected-AOC,Higher,28-Nov-2021 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,175343.0,SATISH KUMAR,27-Aug-2020 01:36 PM,Rejected-AOC,Higher,28-Nov-2021 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,175421.0,Surjeet Kumar,27-Aug-2020 05:33 PM,Rejected-Technical,Not Admitted,05-Sep-2020 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
