Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,Attached,Anil Nagpal,27-Nov-2021 10:51 AM,finance_77410.pdf,BOQ Comparative Chart,1.0,235192.0,BALJEET SINGH,INR,"2,007,097.07",Technical,Attached,Anil Nagpal,22-Sep-2021 03:30 PM,technical_77410.pdf,1.0,235193.0,ashok Thakur,09-Sep-2021 07:29 PM,Rejected-AOC,L1L2,27-Nov-2021 10:57 AM,Executive Engineer,Internal,"Supdt,DAO,HDM",Anil Nagpal,27-Nov-2021 10:54 AM,finsummary_77410.pdf (286.11 KB),27-Nov-2021,"INR 2,007,097",730.0,Anil Nagpal,27-Nov-2021 10:57 AM,A.O.C.pdf (1349.00 KB),Attached,PWD,2021_PWD_51778_1,Routine Repair and maintenance to Jalari Galore Sa,Routine Repair and maintenance to Jalari Galore Salauni Bijhari Deotsidh road Km. 27/00 to 50/80,Executive Engineer,Internal,"GA, Supdt, DAO, HDM",Anil Nagpal,22-Sep-2021 03:32 PM,23-Sep-2021 03:00 PM,techsummary_77410.pdf (720.99 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,1.0,ICICI BANK,Routine Repair and maintenance to Jalari Galore Salauni Bijhari Deotsidh road Km. 27/00 to 50/80,Under Performance Based Based Maintenance Contract (PBBMC) for the Rural Roads year 2021-22 (Major Head 3054-RandB)(NP) Demand No 10,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,730.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"40,500",No,fixed,,Nil,Nil,PWD,Routine Repair and maintenance to Jalari Galore Sa,2021_PWD_51778_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,NA ,NA ,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,23-Sep-2021 03:00 PM,500.0,Nil,Nil,No,Executive Engineeer,Executive Engineer Barsar Division HPPWD Barsar,AOC
,,,,,,,,,,,,,,,,2.0,235192.0,BALJEET SINGH,09-Sep-2021 06:09 PM,Accepted-AOC,L1L2,27-Nov-2021 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,2. EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
