Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Finbid,Arvind Lakhanpal,20-Nov-2021 01:42 PM,finance_75036.pdf,BOQ Comparative Chart,1.0,225512.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"5,351,872",Technical,summary,Arvind Lakhanpal,27-Jul-2021 04:18 PM,technical_75036.pdf,1.0,225321.0,RAKESH KUMAR,25-Jul-2021 06:32 PM,Rejected-AOC,2.0,20-Nov-2021 01:47 PM,20-Nov-2021,"INR 5,554,115",30.0,Arvind Lakhanpal,20-Nov-2021 01:47 PM,Sanjeevoxgen.pdf (215.00 KB),AOC,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,20-Nov-2021 01:45 PM,finsummary_75036.pdf (840.09 KB),EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,27-Jul-2021 04:32 PM,27-Jul-2021 04:45 PM,techsummary_75036.pdf (1532.42 KB),PWD,2021_PWD_50188_2,No.PWD/TDD/GA-TD-,Construction of Shed for proposed Manifold and installation PSA 500 LPM Plant at C.H.C Sujanpur Distt. Hamipur,AOC,1.0,Fee/PreQual/Technical,.pdf,fee,PWD,No.PWD/TDD/GA-TD-,2021_PWD_50188_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,21-Jul-2021 06:30 PM,27-Jul-2021 11:00 AM,21-Jul-2021 06:30 PM,27-Jul-2021 11:00 AM,NA ,NA ,21-Jul-2021 06:30 PM,27-Jul-2021 11:00 AM,27-Jul-2021 04:45 PM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",1.0,ICICI BANK,Construction of Shed for proposed Manifold and installation PSA 500 LPM Plant at C.H.C Sujanpur Distt. Hamipur,Manifold system along with tubing for pediatric ward,Please refer Tender documents. ,NA ,"55,54,115",Civil Works,NA ,Tender,90.0,30.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"2,000",Nil,Nil,No,1.0,corrigendum,Technical Bid,,"88,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,225512.0,SAJEEV KUMAR GOVT.CONTRACTOR,26-Jul-2021 06:25 PM,Accepted-AOC,1.0,20-Nov-2021 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,225207.0,VIRENDER KUMAR,25-Jul-2021 01:57 PM,Rejected-AOC,3.0,20-Nov-2021 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant as per BOQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
