Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Executive Engineer,Internal,"GA,Supdt,HDM,DAO",Anil Nagpal,23-Nov-2021 01:22 PM,finsummary_78413.pdf (291.46 KB),23-Nov-2021,"INR 622,837",30.0,Anil Nagpal,23-Nov-2021 01:25 PM,A.O.C_0001.pdf (1037.00 KB),Attached,PWD,2021_PWD_52480_1,Link road Bani to Tukhani km. 0/0 to 0/720.,Link road Bani to Tukhani km. 0/0 to 0/720.,Executive Engineer,Internal,"Supdt,HDM,DAO",Anil Nagpal,05-Oct-2021 11:59 AM,06-Oct-2021 10:30 AM,techsummary_78413.pdf (1789.92 KB),1.0,238647.0,KISHAN SINGH,INR,"622,837",Finance,Attached,Anil Nagpal,08-Oct-2021 04:30 PM,finance_78413.pdf,BOQ Comparative Chart,Technical,Attached,Anil Nagpal,29-Sep-2021 02:30 PM,technical_78413.pdf,1.0,238647.0,KISHAN SINGH,28-Sep-2021 06:01 PM,Accepted-AOC,L1,23-Nov-2021 01:25 PM,AOC,PWD,Link road Bani to Tukhani km. 0/0 to 0/720.,2021_PWD_52480_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,Link road Bani to Tukhani km. 0/0 to 0/720.,"SH C/O B/Wall at RD 0/105 to 0/120, 0/165 to 0/200 and C/O R/Wall at RD 0/245 to 0/260 and 0/300 to 0/312) (Under MMGSY)",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,1.0,ICICI BANK,"10,700",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,22-Sep-2021 10:30 AM,29-Sep-2021 10:30 AM,22-Sep-2021 10:30 AM,29-Sep-2021 10:30 AM,NA ,NA ,22-Sep-2021 10:30 AM,29-Sep-2021 10:30 AM,06-Oct-2021 10:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,238229.0,parveen kumar,27-Sep-2021 01:57 PM,Rejected-AOC,L2,23-Nov-2021 01:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,238182.0,sunil kumar,27-Sep-2021 11:10 AM,Rejected-AOC,L3,23-Nov-2021 01:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,AOC
