Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
23-Nov-2021,"INR 984,055",60.0,Rajesh Kumar,25-Nov-2021 11:41 AM,Awardletter.pdf (1156.00 KB),Award letter,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar, Sr. Divisional Accounts Officer Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II,",Rajesh Kumar,05-Oct-2021 09:16 AM,finsummary_76964.pdf (538.11 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar, Sr. Divisional Accounts Officer Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II,",Arvind Chaudhary,25-Sep-2021 03:16 PM,30-Sep-2021 11:00 AM,techsummary_76964.pdf (1311.93 KB),PWD,2021_PWD_51494_1,Job 10 Construction of Nallah along the boundary w,Job 10 Construction of Nallah along the boundary wall of Navodya Vidayala Pekhubela GP. Jhurowal Tehsil and Distt. Una Deposit work,1.0,232844.0,Prikshit Thakur Govt Contractor,INR,"804,415",Finance,FinancialBids,Rajesh Kumar,04-Oct-2021 04:57 PM,finance_76964.pdf,BOQ Comparative Chart,Technical,BidsList,Rajesh Kumar,01-Sep-2021 02:42 PM,technical_76964.pdf,1.0,232645.0,Anil Kumar,30-Aug-2021 11:03 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,1.0,ICICI BANK,500.0,Nil,Nil,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","19,700",No,fixed,,Nil,Nil,PWD,Job 10 Construction of Nallah along the boundary w,2021_PWD_51494_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Job 10 Construction of Nallah along the boundary wall of Navodya Vidayala Pekhubela GP. Jhurowal Tehsil and Distt. Una Deposit work,Job 10 Construction of Nallah along the boundary wall of Navodya Vidayala Pekhubela GP. Jhurowal Tehsil and Distt. Una Deposit work,Please refer to Bidding Documents ,NA ,"9,84,055",Civil Works - Buildings,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,23-Aug-2021 10:00 AM,31-Aug-2021 11:00 AM,23-Aug-2021 10:30 AM,31-Aug-2021 09:00 AM,NA ,NA ,23-Aug-2021 10:30 AM,31-Aug-2021 09:00 AM,30-Sep-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232905.0,balwinder singh govt contractor,30-Aug-2021 02:08 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,Earnest Money through online,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232871.0,MAHESH ANGRA,30-Aug-2021 08:27 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232997.0,MANI GOVT. CONTRACTOR,30-Aug-2021 07:12 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,232579.0,MOHIT BEDI,28-Aug-2021 04:41 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,E.P.F. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,232844.0,Prikshit Thakur Govt Contractor,30-Aug-2021 11:46 AM,Accepted-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,233038.0,RAMESH KUMAR,31-Aug-2021 08:43 AM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,232487.0,Suman Devi Govt. Contractor,29-Aug-2021 10:31 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,An undertaking of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,232913.0,U R Construction,30-Aug-2021 02:31 PM,Rejected-Technical,As per Evaluation Bids,25-Sep-2021 03:16 PM,AOC,,,.pdf,An undertaking of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,232534.0,VIKAS SHARMA,30-Aug-2021 07:28 PM,Rejected-AOC,ok,25-Nov-2021 11:41 AM,AOC,,,.pdf,An undertaking that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
