Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
24-Nov-2021,"INR 7,733,137.5",180.0,Manish Sehgal,24-Nov-2021 01:11 PM,AOC.pdf (1014.00 KB),AOC,Sh Manish Sehgal,Internal,,Manish Sehgal,24-Nov-2021 01:08 PM,finsummary_71849.pdf (499.82 KB),Sh Manish Sehgal,Internal,Himanshu Verma AE Harjeet Singh Supdt Suresh Kumar HDM Dayal Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,09-Jul-2021 12:21 PM,09-Jul-2021 12:30 PM,techsummary_71849.pdf (1024.93 KB),PWD,2021_PWD_47923_1,Micro-Surfacing layer on HSTM Km 36 to 44,Providing and laying Type-III (6-8mm thick) Micro-Surfacing layer on Hamirpur Sujanpur Thural Maranda road (MDR-86) during the year 2021-22 in the state of HP,Technical,Bid opening summary,Manish Sehgal,09-Jul-2021 12:13 PM,technical_71849.pdf,1.0,215220.0,Arvind Sharma,06-Jun-2021 10:23 PM,Rejected-Finance,Bidder Rank-L4,24-Nov-2021 01:08 PM,Finance,Summary,Manish Sehgal,24-Nov-2021 01:04 PM,finance_71849.pdf,BOQ Comparative Chart,1.0,215219.0,MSC Roads and Bridges Private Limited,INR,"6,918,750",AOC,31-May-2021 02:00 PM,07-Jun-2021 11:30 AM,31-May-2021 02:05 PM,07-Jun-2021 11:00 AM,NA ,NA ,31-May-2021 02:30 PM,07-Jun-2021 11:00 AM,09-Jul-2021 12:30 PM,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,Providing and laying Type-III (6-8mm thick) Micro-Surfacing layer on Hamirpur Sujanpur Thural Maranda road (MDR-86) during the year 2021-22 in the state of HP,"Providing, laying, microsurfacing layer in Km 36/0 to 37/500, 38/0 to 39/0 and 42/0 to 44/0)",Please refer Tender documents. ,NA ,"91,34,100",Civil Works - Buildings,NA ,Tender,120.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,1.0,ICICI BANK,1.0,Corrigendum,Other,,PWD,Micro-Surfacing layer on HSTM Km 36 to 44,2021_PWD_47923_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,23,900",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,215219.0,MSC Roads and Bridges Private Limited,06-Jun-2021 10:33 PM,Accepted-AOC,Bidder Rank-L1,24-Nov-2021 01:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,215244.0,M/s Satish Kumar Sharma,07-Jun-2021 09:55 AM,Rejected-Finance,Bidder Rank-L3,24-Nov-2021 01:08 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,214392.0,S.S.Chauhans Construction Private Limted,07-Jun-2021 09:11 AM,Rejected-Finance,Bidder Rank-L2,24-Nov-2021 01:08 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
