Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Er.S.P.Dhiman EE,Internal,Supdt.HDM DAO,SHASHI PAL,23-Jul-2021 12:17 PM,finsummary_72850.pdf (366.16 KB),08-Nov-2021,"INR 476,124",60.0,SHASHI PAL,12-Nov-2021 03:00 PM,AOCBohru.pdf (562.00 KB),Work Awarded,PWD,2021_PWD_48578_1,No.BGN/2020-21-2229-48 dated 10.06.2021Job7,C/O and M/T OF Link road from Bohru Remp to Dub km. 0/000 to 5/000,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,17-Jul-2021 04:24 PM,19-Jul-2021 10:30 AM,techsummary_72850.pdf (453.91 KB),Finance,Fin bid opened,SHASHI PAL,23-Jul-2021 12:14 PM,finance_72850.pdf,BOQ Comparative Chart,1.0,218844.0,Ashok Kumar,INR,"476,124",Technical,Tech bid opened,SHASHI PAL,17-Jul-2021 04:22 PM,technical_72850.pdf,1.0,219895.0,Abhay Singh Rana,28-Jun-2021 05:44 PM,Rejected-Technical,Non- responsive,17-Jul-2021 04:24 PM,AOC,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),"13,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,C/O and M/T OF Link road from Bohru Remp to Dub km. 0/000 to 5/000,P/L C.C. Pavement in km. 0/295 to 0/420,Please refer Tender documents. ,NA ,"6,63,359",Civil Works - Others,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,PWD,No.BGN/2020-21-2229-48 dated 10.06.2021Job7,2021_PWD_48578_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Jun-2021 11:00 AM,29-Jun-2021 11:00 AM,17-Jun-2021 11:30 AM,28-Jun-2021 06:00 PM,NA ,NA ,17-Jun-2021 11:30 AM,28-Jun-2021 06:00 PM,19-Jul-2021 10:30 AM,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218844.0,Ashok Kumar,26-Jun-2021 04:34 PM,Accepted-AOC,Lowest,12-Nov-2021 03:00 PM,AOC,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,218672.0,Lalit Kumar Govt Contractor,26-Jun-2021 02:47 PM,Rejected-AOC,Higher Side,12-Nov-2021 03:00 PM,AOC,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
