Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 5135-5215 dt 23/07/2021,2021_HPIPH_50304_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,24-Jul-2021 05:00 PM,02-Aug-2021 11:30 AM,24-Jul-2021 05:00 PM,02-Aug-2021 11:00 AM,NA ,NA ,24-Jul-2021 05:00 PM,02-Aug-2021 11:00 AM,05-Aug-2021 03:05 PM,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,"Providing FHTC of various GWSS from Main Storage tank Jaithal (i.e. Dhagera, Khudu, Bhallar, Kun Arwali etc.) under JJM GP Thana Kasoga Tehsil Nahan Distt. Sirmour HP",C/O main Storage tank 1 No. and 6 Nos sector storage tanks at various Nodes) Job No. 2 under JJM,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"29,990",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned in NIT,AOC,Technical,Technical Bid Opening Summary,Ashish Rana,05-Aug-2021 03:02 PM,technical_75309.pdf,Er. Ashsh Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,05-Aug-2021 03:03 PM,05-Aug-2021 03:05 PM,techsummary_75309.pdf (106.14 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_50304_12,NHN-SMR00-722- 5135-5215 dt 23/07/2021,"Providing FHTC of various GWSS from Main Storage tank Jaithal (i.e. Dhagera, Khudu, Bhallar, Kun Arwali etc.) under JJM GP Thana Kasoga Tehsil Nahan Distt. Sirmour HP",1.0,226589.0,VIRENDER SINGH,INR,"1,359,456",18-Nov-2021,"INR 1,499,642",90.0,Ashish Rana,18-Nov-2021 05:58 PM,AOC.pdf (677.00 KB),Award to Contractor,1.0,227005.0,Balinder Dutt,01-Aug-2021 11:01 PM,Rejected-Finance,Reject,18-Nov-2021 05:56 PM,Er Ashish Rana EE,Internal,TA Supdt HDm DAO EE,Ashish Rana,18-Nov-2021 05:56 PM,finsummary_75309.pdf (676.98 KB),Finance,Financial Bid Opening Summary,Ashish Rana,05-Aug-2021 04:30 PM,finance_75309.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227035.0,Jawant Singh,02-Aug-2021 10:37 AM,Rejected-Finance,Reject,18-Nov-2021 05:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration in JSV in valid class as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,226985.0,KULDEEP SHARMA,01-Aug-2021 06:47 PM,Rejected-Finance,Reject,18-Nov-2021 05:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Regitration as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,226589.0,VIRENDER SINGH,01-Aug-2021 08:03 PM,Accepted-AOC,AOC,18-Nov-2021 05:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GSt No as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking Joint Venture is not allowed as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully Study all terms and condition as mentioned in NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
