Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bid opening summary,Manish Sehgal,08-Oct-2021 12:32 PM,technical_78067.pdf,1.0,237856.0,Dinesh Kumar Sharma Const. (P) Ltd,28-Sep-2021 12:33 PM,Rejected-Technical,Non-Responsive,08-Oct-2021 12:44 PM,1.0,238181.0,M/s Satish Kumar Sharma,INR,"153,422,627",Finance,Bid opening summary,Manish Sehgal,21-Oct-2021 11:48 AM,finance_78067.pdf,BOQ Comparative Chart,Sh Manish Sehgal,Internal,,Manish Sehgal,15-Nov-2021 02:49 PM,finsummary_78067.pdf (447.98 KB),15-Nov-2021,"INR 153,773,533.98",730.0,Manish Sehgal,15-Nov-2021 03:02 PM,Summary.pdf (448.00 KB),AOC,PWD,2021_PWD_52245_1,NIT NO.11547-606 DT.19.08.2021-Bhawarna,Widening and strengthening of Parour Dheera Naura road upto Purba road Km 0/00 to 17/110 (Job No. CRF-HP-2021-22/175) (Under Central Road Fund),N.P.Singh Chief Engineer (KZ) Dharamshala,Internal,Manish Shegal (EE. Division Bhawarna) Dharminder Kumar (DC (F and A) KZ Dharamshala) I.S.Uttam (SE 5th Circle Palampur) M.P.Dhiman (SE (D) KZ Dharamshala),Manish Sehgal,08-Oct-2021 12:44 PM,16-Oct-2021 11:00 AM,techsummary_78067.pdf (3828.13 KB),AOC,15-Sep-2021 10:00 AM,29-Sep-2021 11:30 AM,15-Sep-2021 10:05 AM,28-Sep-2021 05:00 PM,NA ,NA ,15-Sep-2021 10:30 AM,28-Sep-2021 05:00 PM,16-Oct-2021 11:00 AM,Widening and strengthening of Parour Dheera Naura road upto Purba road Km 0/00 to 17/110 (Job No. CRF-HP-2021-22/175) (Under Central Road Fund),"Widening or road to intermediate lane standard, R/walls, B/walls, C.D. work, GSB, WBM, Tarring work, CC Pavement, Interlocking Concrete block, Side Drain, Parapets, Crash Barrier and Sign Boards including C/o 30.00 meter span Double lane Bridge",Please refer Tender documents. ,NA ,"19,45,15,415",Civil Works - Roads,NA ,Tender,75.0,730.0,Bhawarna,176083.0,NA ,NA ,NA ,"O/o SE, 5th Circle Palampur",No ,No,PWD,NIT NO.11547-606 DT.19.08.2021-Bhawarna,2021_PWD_52245_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,"38,91,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,AOC
,,,,,2.0,237447.0,HS Engineers and Associates,28-Sep-2021 03:47 PM,Rejected-Finance,Bidder Rank-L6,15-Nov-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",AOC
,,,,,3.0,238207.0,JV Navneet Thakur,28-Sep-2021 11:11 AM,Rejected-Finance,Bidder Rank-L3,15-Nov-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,AOC
,,,,,4.0,238642.0,M.S JAGDISH CHAND GUPTA,28-Sep-2021 04:55 PM,Rejected-Finance,Bidder Rank-L4,15-Nov-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Copy of (Tax/Vat/TIN/GST/PAN).,AOC
,,,,,5.0,236493.0,M/s Kamala Enterprises,26-Sep-2021 07:35 PM,Rejected-Finance,Bidder Rank-L2,15-Nov-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per Schedule-D of SBD.,AOC
,,,,,6.0,238181.0,M/s Satish Kumar Sharma,28-Sep-2021 04:01 PM,Accepted-AOC,Bidder Rank-L1,15-Nov-2021 03:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD.,AOC
,,,,,7.0,237872.0,NAVNEET SHARMA,28-Sep-2021 04:39 PM,Rejected-Finance,Bidder Rank-L5,15-Nov-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly signed by CA.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tax clearance certificate (TCC) issued from the GST and Taxation Deptt.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that informations furnished with the bid (with work name) are true.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,AOC
