Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,180",Nil,Nil,No,1.0,Date Extend Corrigendum,Date,,"22,773",No,fixed,,Nil,Nil,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2021-22-3878-84 dated 24.09.2021,2021_HPSEB_52691_1,Yes,Open Tender,Item Wise,Services,2.0,No,Yes,Online,No,No,No,Sr. Executive Engineer Karsog,"Electrical Division HPSEBL, Karsog",25-Sep-2021 02:00 PM,05-Oct-2021 03:00 PM,26-Sep-2021 11:00 AM,05-Oct-2021 11:00 AM,NA ,NA ,26-Sep-2021 11:00 AM,05-Oct-2021 11:00 AM,05-Oct-2021 05:20 PM,"Tender for prov. 250kVA, 22/0.4KV Transformer to CH Karsog, providing 22kV HT line to proposed 250 kVA, Sub-Station New Medical and 100kVA Sub-Station Medical at CH Karsog, Re-organisation of 3 phase LT line and plinth alongwith fencin","Tender for prov. 250kVA, 22/0.4KV Transformer to CH Karsog , providing 22kV HT line to proposed 250 kVA, Sub-Station New Medical and 100kVA Sub-Station Medical at CH Karsog, Re-organisation of 3 phase LT line and plinth alongwith fencin",please refer tender document  ,NA ,"9,10,902",Miscellaneous Services,Electrical Works ,Tender,30.0,30.0,Karsog,175011.0,NA ,NA ,NA ,o/o Sr. Executive Engineer Karsog,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,AOC,Er. Sushil Kumar,Internal,Attached,Sushil Kumar,05-Oct-2021 05:16 PM,05-Oct-2021 05:20 PM,techsummary_78764.pdf (364.56 KB),1.0,239318.0,Sai Bholey Consultancy,04-Oct-2021 04:04 PM,Accepted-AOC,found 11percent down from estimated amount and after negotiation contractor agree to reduce 3 percent again an their quoted amount,12-Nov-2021 11:50 AM,12-Nov-2021,"INR 910,902",30.0,Sushil Kumar,12-Nov-2021 11:50 AM,Award.pdf (2936.00 KB),NIT Amount,Finance,attached,Sushil Kumar,12-Nov-2021 11:25 AM,finance_78764.pdf,BOQ Comparative Chart,Technical,Admitted,Sushil Kumar,05-Oct-2021 05:02 PM,technical_78764.pdf,Er. Sushil Kumar,Internal,attached,Sushil Kumar,12-Nov-2021 11:34 AM,finsummary_78764.pdf (156.82 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2021_HPSEB_52691_1,184619/2021-22-3878-84 dated 24.09.2021,"Tender for prov. 250kVA, 22/0.4KV Transformer to CH Karsog, providing 22kV HT line to proposed 250 kVA, Sub-Station New Medical and 100kVA Sub-Station Medical at CH Karsog, Re-organisation of 3 phase LT line and plinth alongwith fencin",1.0,239318.0,Sai Bholey Consultancy,INR,"777,548",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD,AOC,,,,,,,,2.0,239441.0,SATPAL,04-Oct-2021 06:17 PM,Rejected-Finance,Found Higher as compare to L-1,12-Nov-2021 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Electrical License from competent authority as per bid document,AOC,,,,,,,,3.0,239475.0,VISHAL ELECTRICAL GOVT CONT,05-Oct-2021 10:58 AM,Rejected-Finance,"not put rate of 1 item, item wise evaluation he found higher from both the bidder",12-Nov-2021 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,under taking of no litigation in Govt/ Semi Govt institution as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance police for workman as per bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bank Guarantee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
