S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,235443.0,Parveen Kumar Katna,INR,"12,370,097","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",2021_HPIPH_51809_1,NGB-KNG01-773,Renovation Extension of Inspection hut under JSV Division Nagrota Bagwan,Er.Rahul Dhiman EE,Internal,Sh. S.P Veram Sr DAO Smt Anita Rana Supdt Gr-II,Rahul Dhiman,14-Oct-2021 12:20 PM,finsummary_77478.pdf (273.16 KB),Er.Rohit Dubey S.E,Internal,"Er,Rahul Dubey EE.(D)Er.Rahul Dhiman EE Er.Ajay Rana AE D)Sh.Ashok Kumar Lakhanpal Supdt.",Rahul Dubey,30-Sep-2021 11:20 AM,30-Sep-2021 11:25 AM,techsummary_77478.pdf (598.86 KB),1.0,235575.0,PANKAJ KUMAR,13-Sep-2021 05:00 PM,Rejected-Finance,Highest Amount,14-Oct-2021 12:20 PM,25-Nov-2021,"INR 11,765,070",360.0,Rahul Dhiman,25-Nov-2021 12:04 PM,Award.pdf (659.00 KB),Award Letter,Finance,Financial bid opened on dated 30.09.2021,Rahul Dhiman,14-Oct-2021 12:17 PM,finance_77478.pdf,BOQ Comparative Chart,Technical,Technical bid opened on dated 30.9.2021,Rahul Dubey,30-Sep-2021 11:17 AM,technical_77478.pdf,AOC,"1,500",Nil,Nil,No,Er Rahul Dhiman EE,Jal Shakti Division Nagrota Bagwan,Renovation Extension of Inspection hut under JSV Division Nagrota Bagwan,Renovation Extension of Inspection hut under Jal Shakti Division Nagrota Bagwan SH_Construction of Inspection hut,Please refer Tender documents. ,NA ,"1,17,65,070",Civil Works - Canal,NA ,Tender,120.0,360.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,Nagrota Bagwan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Cost of Form (online mode),01-Sep-2021 05:00 PM,14-Sep-2021 11:30 AM,01-Sep-2021 05:00 PM,14-Sep-2021 11:00 AM,NA ,NA ,01-Sep-2021 05:00 PM,14-Sep-2021 11:00 AM,30-Sep-2021 11:25 AM,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",NGB-KNG01-773,2021_HPIPH_51809_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,50,150",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,235443.0,Parveen Kumar Katna,12-Sep-2021 05:16 PM,Accepted-AOC,Lowest Amount,25-Nov-2021 12:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EMD (online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,235496.0,Sushant Puri,13-Sep-2021 09:08 PM,Rejected-Finance,Highest Amount,14-Oct-2021 12:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Enlistment with IPH Deptt./JSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per NIT Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC Certificate authorization must upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit /Undertaking Contractor/firm should not have blacklist from any Govt. Agency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Termsandconditons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
