Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
400.0,NIL,NIL,No,02-Jul-2021 09:00 AM,09-Jul-2021 11:30 AM,02-Jul-2021 09:00 AM,08-Jul-2021 05:00 PM,NA ,NA ,02-Jul-2021 09:00 AM,08-Jul-2021 05:00 PM,17-Jul-2021 12:10 PM,"33,175",Yes,fixed,,NIL,NIL,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited both through online mode ( E-Payme,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,1.0,ICICI BANK,"Additional and Alteration of IPH Inspection Hut at Akshaina in Tehsil Palampur, Distt. Kangra HP","Additional and Alteration of IPH Inspection Hut at Akshaina in Tehsil Palampur, Distt. Kangra HP",Please refer Tender documents. ,NA ,"16,58,759",Civil Works - Buildings,NA ,Tender,120.0,90.0,Additional and Alteration of IPH Inspection Hut at,176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (3451-94 dated 30.6.2021),2021_HPIPH_49273_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,1.0,222147.0,AMIT CHOUDHARY,08-Jul-2021 03:04 PM,Rejected-AOC,accept,01-Nov-2021 12:48 PM,Executive Engineer JSV Division Thural,Internal,"AEtoEEJSV Division Thural,SupdttJSV Division Thural,HDMJSV Division Thural,Dealing AssttJSV Division Thural",Anil Kumar,17-Jul-2021 12:09 PM,17-Jul-2021 12:10 PM,techsummary_73881.pdf (1611.61 KB),Technical,3Nos contractor/Firm bid documents downloaded successfully summary attached,Anil Kumar,17-Jul-2021 12:07 PM,technical_73881.pdf,Finance,BOQ downloaded successfully summary attached,Anil Kumar,17-Jul-2021 12:22 PM,finance_73881.pdf,BOQ Comparative Chart,01-Nov-2021,"INR 1,653,049",90.0,Anil Kumar,01-Nov-2021 12:48 PM,award_2.pdf (745.00 KB),Sh. Suraj Aggrwal Govt.Cont V.P.O. Maranda. Tehsil Palampur District Kangra HP,Executive Engineer JSV Division Thural,Internal,"AEtoEEJSV Division Thural,SupdttJSV Division Thural,HDMJSV Division Thural",Anil Kumar,17-Jul-2021 12:26 PM,finsummary_73881.pdf (84.77 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2021_HPIPH_49273_1,THL-KNG05-729 (3451-94 dated 30.6.2021),"Additional and Alteration of IPH Inspection Hut at Akshaina in Tehsil Palampur, Distt. Kangra HP",1.0,222142.0,Suraj Parkash Aggarwal,INR,"2,339,745.3",AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with JSV (IPH) Department in appropriate class and latest renewal th,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,222141.0,GANTANTAR THAKUR,08-Jul-2021 03:30 PM,Rejected-AOC,accept,01-Nov-2021 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,222142.0,Suraj Parkash Aggarwal,08-Jul-2021 03:18 PM,Accepted-AOC,accept,01-Nov-2021 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Registration copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must have experience of construction of building in IPH Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
