S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,112422.0,HS Engineers and Associates,INR,"511,620,559","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Nurpur,Irrigation and Public Health,HP",2019_HPIPH_27007_1,EE/IPH/IND/EA-I/Tender/2018- 12043-62,Channelization of Chhounchh Khad in Tehsil Indora Distt. Kangra HP,Executive EngineerIndora,Internal,,Ranjit Singh Chaudhary,02-May-2019 01:05 PM,finsummary_38421.pdf (826.72 KB),P.K.Sharma,Internal,EE(Design) SR ASTT AE(Design)CHD EE INDORA,Ranjit Singh Chaudhary,27-Feb-2019 04:58 PM,27-Feb-2019 05:00 PM,techsummary_38421.pdf (3076.03 KB),1.0,113035.0,GSCO INFRASTRUCTURE PVT. LTD.,21-Feb-2019 10:50 AM,Rejected-Finance,Higher rate quoted,02-May-2019 01:05 PM,Finance,kindly see up loded doucments,Ranjit Singh Chaudhary,02-May-2019 12:58 PM,finance_38421.pdf,BOQ Comparative Chart,Technical,SUPDTT DAO HDM EE,Ranjit Singh Chaudhary,27-Feb-2019 04:51 PM,technical_38421.pdf,12-Nov-2021,"INR 511,620,559",1095.0,Amit Dogra,12-Nov-2021 04:54 PM,AOC.pdf (885.00 KB),AOC,AOC,1.0,ICICI BANK,"2,500","Executive Engineer, IPH Division Indora",PUNB Indora,No,Channelization of Chhounchh Khad in Tehsil Indora Distt. Kangra HP,"Sub Head Construction of earthen embankment including crated apron, stone pitching etc. from RD 24000 to 30000 on both banks of Chhounchh Khad",AS Per NIT ,NA ,"39,18,51,185",Civil Works,NA ,Tender,90.0,120.0,Tehsil Indora,176401.0,NA ,NA ,NA ,"Executive Engineer, IPH Division Indora",No ,No,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Nurpur,Irrigation and Public Health,HP",EE/IPH/IND/EA-I/Tender/2018- 12043-62,2019_HPIPH_27007_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,08-Feb-2019 06:00 PM,22-Feb-2019 12:30 PM,08-Feb-2019 06:00 PM,21-Feb-2019 11:00 AM,NA ,NA ,08-Feb-2019 06:00 PM,21-Feb-2019 11:00 AM,27-Feb-2019 05:00 PM,"39,18,515",Yes,fixed,,"Executive Engineer, IPH Division Indora",PUNB Indora,Executive Engineer,IPH Division Indora,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of offline/online payment i.e. cost of receipt of the amount deposited on a/c of cost o,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,112422.0,HS Engineers and Associates,20-Feb-2019 06:43 PM,Accepted-AOC,Bidder Lower Side AMOUNT,12-Nov-2021 04:54 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of offline /online payment i.e. cost of receipt of the amount deposited of cost of earn,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,113918.0,M/s. Shivji Singla and Sons,20-Feb-2019 04:23 PM,Rejected-Technical,NOT QUALIFIED,27-Feb-2019 04:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of registration in IPH Deptt. in appropriate class and latest renewal thereof,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,114018.0,RAJINDER INFRASTRUCTURE PVT LTD.,20-Feb-2019 07:33 PM,Rejected-Technical,NOT QUALIFIED,27-Feb-2019 04:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN No /Income tax (Assessment Year 2018-19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST No. registration and latest clearance certificate thereof,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of Average Annual Financial Turnover during the last 3 years, ending 31st March of the",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Experience of having successfully completed similar works AS per NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Experience of weaving G.I. wire crates with minimum thickness of G.I. wire 5mm,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of List of adequate machinery and other equipments available with the contractor/firm,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Necessary performance certificate,AOC
