Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
19-May-2020 09:00 AM,26-May-2020 11:00 AM,19-May-2020 09:00 AM,26-May-2020 10:30 AM,NA ,NA ,19-May-2020 09:00 AM,26-May-2020 10:30 AM,03-Jun-2020 03:30 PM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",C/o link road from Ree to Gartholi via Balyana Km 0/0 to 2/825.(,"formation cutting, R/wall, C.D. soling ,wearing ,Tarring ,Parapets, V-Shape drain and 2 Nos 10.00 mtr span RCC slab culverts ) Under Nabard RIDF-XXV).",Please refer Tender documents. ,NA ,"1,45,19,203",Civil Works,NA ,Tender,120.0,365.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"5,000","Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,"1,77,700",Yes,fixed,,EE Tauni Devi,Hamirpur,PWD,PW/TDD/GA-NIT/2019dt,2020_PWD_37264_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,AOC,EE,Internal,SUPDT/HDM/AE,Swaroop Kumar,02-Jun-2020 08:41 PM,03-Jun-2020 03:30 PM,techsummary_54910.pdf (106.76 KB),PWD,2020_PWD_37264_1,PW/TDD/GA-NIT/2019dt,C/o link road from Ree to Gartholi via Balyana Km 0/0 to 2/825.(,22-Oct-2021,"INR 14,519,203",365.0,Arvind Lakhanpal,22-Nov-2021 12:03 PM,RakeshSharmaNABARDREEGARTHOLI.pdf (217.00 KB),AOC,EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,06-Jul-2020 01:52 PM,finsummary_54910.pdf (546.71 KB),Finance,summary,Arvind Lakhanpal,06-Jul-2020 01:43 PM,finance_54910.pdf,BOQ Comparative Chart,1.0,159351.0,RAKESH SHARMA,INR,"17,188,605",1.0,159364.0,MSC Roads and Bridges Private Limited,25-May-2020 03:55 PM,Rejected-AOC,4.0,22-Nov-2021 12:03 PM,Technical,Summary,Swaroop Kumar,02-Jun-2020 08:38 PM,technical_54910.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,159251.0,PARDEEP KUMAR GOVT. CONTRACTOR,23-May-2020 11:17 AM,Rejected-AOC,2.0,22-Nov-2021 12:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,159351.0,RAKESH SHARMA,25-May-2020 02:02 PM,Accepted-AOC,1.0,22-Nov-2021 12:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,159366.0,umesh sharma,25-May-2020 04:18 PM,Rejected-AOC,3.0,22-Nov-2021 12:03 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capapcity form C.A. as per SBD in rule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
