Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Fin bid opened,SHASHI PAL,18-Sep-2021 01:07 PM,finance_76920.pdf,BOQ Comparative Chart,1.0,233852.0,Ramesh Chand Sharma,INR,"8,464,657",Technical,Tech bid opened,SHASHI PAL,17-Sep-2021 01:27 PM,technical_76920.pdf,1.0,233852.0,Ramesh Chand Sharma,05-Sep-2021 02:30 PM,Accepted-AOC,Lowest,15-Nov-2021 05:44 PM,15-Nov-2021,"INR 8,464,657",270.0,SHASHI PAL,15-Nov-2021 05:44 PM,AOCBridge.pdf (1034.00 KB),Work awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,18-Sep-2021 01:11 PM,finsummary_76920.pdf (362.10 KB),Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,17-Sep-2021 01:29 PM,18-Sep-2021 10:30 AM,techsummary_76920.pdf (441.33 KB),PWD,2021_PWD_51462_1,No.BGN/2020-21-5367-98 dated 17.08.2021Job1,Construction of link road from Bhaloh to Bhalola on Takka Dathwara road Abadi Jhingra i/c 4Nos. Bridges,AOC,1.0,ICICI BANK,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"1,06,600",Yes,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),25-Aug-2021 11:00 AM,07-Sep-2021 11:00 AM,25-Aug-2021 11:30 AM,06-Sep-2021 06:00 PM,NA ,NA ,25-Aug-2021 11:30 AM,06-Sep-2021 06:00 PM,18-Sep-2021 10:30 AM,PWD,No.BGN/2020-21-5367-98 dated 17.08.2021Job1,2021_PWD_51462_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road from Bhaloh to Bhalola on Takka Dathwara road Abadi Jhingra i/c 4Nos. Bridges,C/o 31.16 meter vented Causeway over Takka Khad on link road from Shamshanghat to sainian Muhalla at RD 0/085 including approach both side )Under SCSP,Please refer Tender documents. ,NA ,"74,00,471",Civil Works - Bridges,NA ,Tender,120.0,270.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,234227.0,Sandeep Kumar Dhiman,06-Sep-2021 02:35 PM,Rejected-Technical,Non-responsive,17-Sep-2021 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,234489.0,Sanjeev Kumar,06-Sep-2021 03:40 PM,Rejected-AOC,Higher side,15-Nov-2021 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
